epoch,train_loss,valid_loss,accuracy,time
8,0.498518,0.964423,0.559020,00:27
9,0.490942,0.919008,0.565423,00:27
10,0.488668,0.849096,0.575445,00:27
11,0.486809,0.825875,0.581849,00:27
12,0.485181,0.848780,0.587973,00:27
13,0.479436,0.937940,0.574610,00:27
14,0.477276,0.897417,0.584354,00:27
15,0.475548,0.992276,0.575167,00:27
16,0.471758,0.945687,0.578229,00:27
17,0.471081,0.931527,0.582405,00:27
18,0.465805,0.938473,0.578508,00:27
19,0.462982,0.872555,0.588530,00:27
20,0.459502,0.921004,0.584076,00:27
21,0.457808,0.925696,0.582405,00:27
22,0.456623,0.949924,0.583519,00:27
23,0.454758,0.936259,0.583797,00:27
24,0.451078,0.965709,0.579343,00:27
25,0.447542,0.970621,0.582405,00:27
26,0.448635,0.959520,0.581849,00:27
27,0.449067,0.963786,0.583241,00:27
28,0.447147,0.975333,0.582684,00:27
29,0.446609,0.958638,0.582405,00:27
epoch,train_loss,valid_loss,accuracy,time
0,0.632029,0.691021,0.510579,00:27
1,0.571989,0.666602,0.573497,00:27
2,0.545347,0.752332,0.576837,00:27
3,0.530064,0.826725,0.571270,00:27
4,0.515658,0.895390,0.574889,00:27
5,0.509132,0.818359,0.582684,00:27
6,0.501579,0.906184,0.579900,00:27
7,0.499427,0.994559,0.568485,00:27
8,0.493662,0.982761,0.559020,00:27
9,0.487998,0.928291,0.565423,00:27
10,0.483712,0.852270,0.575445,00:27
11,0.480279,0.816378,0.581849,00:27
12,0.477677,0.853375,0.587973,00:27
13,0.473889,0.960256,0.574610,00:27
14,0.468452,0.916513,0.584354,00:27
15,0.468647,1.019779,0.575167,00:27
16,0.466791,0.952052,0.578229,00:27
17,0.465951,0.939660,0.582405,00:27
18,0.466454,0.956496,0.578508,00:27
19,0.463819,0.883600,0.588530,00:27
20,0.458768,0.937170,0.584076,00:27
21,0.453101,0.939060,0.582405,00:27
22,0.451921,0.960122,0.583519,00:27
23,0.450719,0.946883,0.583797,00:27
24,0.447906,0.977798,0.579343,00:27
25,0.447234,0.981053,0.582405,00:27
26,0.445244,0.971922,0.581849,00:27
27,0.445651,0.976352,0.583241,00:27
28,0.445057,0.988973,0.582684,00:27
29,0.441661,0.970462,0.582405,00:27
epoch,train_loss,valid_loss,accuracy,time
epoch,train_loss,valid_loss,accuracy,time
epoch,train_loss,valid_loss,accuracy,time
0,0.681317,#na#,00:24
1,0.722849,#na#,00:18
epoch,train_loss,valid_loss,accuracy,time
0,0.666528,#na#,00:26
1,0.741093,#na#,00:18
epoch,train_loss,valid_loss,accuracy,time
0,0.669306,#na#,00:26
1,0.750901,#na#,00:17
epoch,train_loss,valid_loss,accuracy,time
0,0.631286,0.688183,0.499443,00:26
1,0.581075,0.684256,0.555401,00:27
2,0.554612,0.710782,0.589365,00:27
3,0.537129,0.845019,0.576002,00:27
4,0.526125,0.829716,0.581849,00:27
5,0.515003,0.870679,0.568764,00:27
6,0.508313,0.873891,0.570713,00:27
7,0.503247,0.799819,0.566815,00:27
8,0.500839,0.838938,0.576281,00:27
9,0.496199,0.855032,0.570434,00:27
10,0.489981,0.957739,0.576002,00:27
11,0.487419,0.908703,0.567094,00:27
12,0.483288,0.926929,0.569599,00:27
13,0.482207,0.970603,0.560134,00:27
14,0.478775,0.928017,0.564310,00:27
15,0.474965,0.918199,0.570713,00:27
16,0.473695,0.912349,0.577394,00:27
17,0.469217,0.878975,0.577673,00:27
18,0.467717,0.902265,0.573775,00:27
19,0.464502,0.909790,0.574053,00:27
20,0.462001,0.882317,0.575724,00:27
21,0.458306,0.922774,0.579065,00:27
22,0.459249,0.932062,0.579900,00:27
23,0.455908,0.965714,0.581849,00:27
24,0.451705,0.979457,0.580457,00:27
25,0.451677,0.962891,0.576002,00:27
26,0.453238,0.976898,0.573775,00:27
27,0.450985,0.969012,0.578229,00:27
28,0.451099,0.982706,0.578786,00:27
29,0.446759,0.966558,0.577951,00:27
epoch,train_loss,valid_loss,accuracy,time
0,0.629409,0.689266,0.499443,00:27
1,0.574971,0.684316,0.555401,00:27
2,0.547087,0.700726,0.589365,00:27
3,0.530703,0.837273,0.576002,00:27
4,0.518457,0.826441,0.581849,00:27
5,0.509700,0.876061,0.568764,00:27
6,0.503942,0.868926,0.570713,00:27
7,0.498413,0.799135,0.566815,00:27
8,0.494861,0.828287,0.576281,00:27
9,0.490945,0.847002,0.570434,00:27
10,0.486304,0.960770,0.576002,00:27
11,0.484984,0.916424,0.567094,00:27
12,0.480698,0.934864,0.569599,00:27
13,0.477323,0.989586,0.560134,00:27
14,0.476157,0.947033,0.564310,00:27
15,0.476240,0.927347,0.570713,00:27
16,0.472221,0.928621,0.577394,00:27
17,0.467674,0.909670,0.577673,00:27
18,0.464148,0.927220,0.573775,00:27
19,0.462409,0.931516,0.574053,00:27
20,0.459185,0.893622,0.575724,00:27
21,0.456932,0.939673,0.579065,00:27
22,0.455107,0.954139,0.579900,00:27
23,0.454178,0.987512,0.581849,00:27
24,0.450880,1.005289,0.580457,00:27
25,0.450679,0.985336,0.576002,00:27
26,0.447944,1.000571,0.573775,00:27
27,0.445271,0.991926,0.578229,00:27
28,0.443836,1.006950,0.578786,00:27
29,0.444187,0.989589,0.577951,00:27
epoch,train_loss,valid_loss,accuracy,time
0,0.449280,0.969485,0.578229,00:28
1,0.444336,0.980772,0.577116,00:29
2,0.439467,0.951912,0.579343,00:28
3,0.432723,0.971843,0.576002,00:29
4,0.429000,1.014310,0.572661,00:29
5,0.420499,1.005317,0.575167,00:29
6,0.409940,1.030267,0.574610,00:29
7,0.394628,1.146294,0.569042,00:29
8,0.380144,1.152293,0.571548,00:29
9,0.363330,1.133015,0.569042,00:29
10,0.350498,1.200912,0.564866,00:29
11,0.334607,1.230256,0.564031,00:29
12,0.313659,1.381132,0.559855,00:29
13,0.298117,1.374879,0.562918,00:29
14,0.282116,1.469365,0.560134,00:29
15,0.267573,1.468908,0.565980,00:28
16,0.255142,1.504058,0.564031,00:29
17,0.241041,1.426112,0.578229,00:29
18,0.236286,1.569235,0.564588,00:29
19,0.226402,1.599756,0.564031,00:29
20,0.220141,1.667564,0.563753,00:29
21,0.211966,1.612725,0.567650,00:29
22,0.202638,1.737664,0.566537,00:29
23,0.201364,1.626844,0.572661,00:29
24,0.195424,1.761839,0.568207,00:29
25,0.190889,1.738198,0.565980,00:29
26,0.191047,1.707503,0.565702,00:29
27,0.189433,1.713760,0.564866,00:29
28,0.185241,1.715965,0.565145,00:29
29,0.191306,1.683574,0.565702,00:29
epoch,train_loss,valid_loss,accuracy,time
0,0.447155,0.994893,0.578229,00:29
1,0.449267,1.006011,0.577116,00:29
2,0.441498,0.976225,0.579343,00:29
3,0.436780,1.005758,0.576002,00:29
4,0.429494,1.047179,0.572661,00:29
5,0.419363,1.049226,0.575167,00:29
6,0.409236,1.075261,0.574610,00:29
7,0.394983,1.204983,0.569042,00:29
8,0.385078,1.213440,0.571548,00:29
9,0.371006,1.212268,0.569042,00:29
10,0.351397,1.282561,0.564866,00:29
11,0.336968,1.313954,0.564031,00:29
12,0.320837,1.482044,0.559855,00:29
13,0.307582,1.483902,0.562918,00:29
14,0.293018,1.597497,0.560134,00:29
15,0.274711,1.582421,0.565980,00:29
16,0.263997,1.604647,0.564031,00:29
17,0.253559,1.553788,0.578229,00:29
18,0.242686,1.695062,0.564588,00:29
19,0.232499,1.723262,0.564031,00:29
20,0.224968,1.797890,0.563753,00:29
21,0.214633,1.730412,0.567650,00:29
22,0.215336,1.865496,0.566537,00:29
23,0.207933,1.748957,0.572661,00:29
24,0.201118,1.891898,0.568207,00:29
25,0.195124,1.864355,0.565980,00:29
26,0.191866,1.837088,0.565702,00:29
27,0.192568,1.841104,0.564866,00:29
28,0.192549,1.843636,0.565145,00:29
29,0.188454,1.809595,0.565702,00:29
epoch,train_loss,valid_loss,accuracy,time
epoch,train_loss,valid_loss,accuracy,time
