6.1.1.12|6.1.1.23	1573
1.2.1.12|1.2.1.59	1134
5.4.4.3|6.3.1.2	1644
2.3.1.179|2.3.1.41	529
1.1.1.85|1.1.1.87	596
3.6.3.19|3.6.3.20	921
3.5.3.17|3.5.3.7	103
3.5.3.11|3.5.3.7	95
3.5.3.11|3.5.3.17	87
1.2.1.79|1.2.1.8	47
1.2.1.20|1.2.1.8	38
1.2.1.20|1.2.1.79	466
1.2.1.12|1.2.1.72	73
1.1.1.83|1.1.1.87	241
1.1.1.83|1.1.1.85	287
6.1.1.23|6.1.1.6	27
3.6.3.32|3.6.3.39	23
3.6.3.20|3.6.3.31	158
2.6.1.85|4.1.3.27	185
2.6.1.18|2.6.1.81	21
1.3.8.10|1.3.8.11	10
1.3.5.1|1.3.5.4	450
1.2.1.69|1.2.1.8	200
1.2.1.5|1.2.1.8	84
1.2.1.59|1.2.1.72	27
1.2.1.19|1.2.1.8	183
1.2.1.19|1.2.1.69	257
3.6.3.19|3.6.3.31	191
2.5.1.31|2.5.1.86	133
2.5.1.31|2.5.1.68	203
4.2.1.2|4.3.1.1	109
3.6.3.31|3.6.3.39	117
3.6.3.31|3.6.3.32	105
3.6.3.27|3.6.3.39	23
3.6.3.27|3.6.3.32	57
3.6.3.27|3.6.3.31	181
2.5.1.86|2.5.1.88	74
2.5.1.68|2.5.1.86	104
2.5.1.31|2.5.1.88	137
6.2.1.3|6.2.1.44	111
2.6.1.18|2.6.1.48	35
2.5.1.68|2.5.1.88	84
2.3.1.182|2.3.3.13	68
2.1.3.3|2.1.3.6	88
1.4.1.2|1.4.1.3	49
1.2.1.5|1.2.1.69	93
1.2.1.3|1.2.1.8	84
1.2.1.19|1.2.1.5	95
1.14.13.171|1.14.13.92	20
1.1.1.343|1.1.1.44	35
1.1.1.23|1.1.1.308	130
4.2.1.77|5.1.1.8	132
4.2.1.115|5.1.3.2	13
3.2.1.183|3.2.1.184	5
2.6.1.62|2.6.1.82	18
2.3.1.16|2.3.1.9	175
1.2.1.69|1.2.1.79	23
1.2.1.19|1.2.1.79	29
3.6.3.54|3.6.3.8	57
3.6.3.12|3.6.3.8	11
3.6.3.12|3.6.3.54	19
2.6.1.2|2.6.1.83	15
6.2.1.26|6.2.1.3	5
4.1.3.36|4.2.1.17	1
1.5.1.21|1.5.1.49	58
4.2.1.150|4.2.1.17	60
6.2.1.3|6.2.1.41	23
4.4.1.15|4.4.1.25	22
2.7.8.31|2.7.8.36	28
1.4.1.2|1.4.1.4	1
4.2.1.6|4.2.1.8	9
4.2.1.39|4.2.1.8	17
4.2.1.39|4.2.1.6	8
2.4.2.2|2.4.2.4	57
3.6.3.19|3.6.3.39	7
1.2.1.3|1.2.1.69	12
6.3.2.13|6.3.2.7	3
2.5.1.48|4.4.1.8	38
1.17.1.10|1.7.99.4	4
1.1.1.42|1.1.1.87	16
1.1.1.42|1.1.1.85	21
2.6.1.105|2.6.1.82	4
2.6.1.105|2.6.1.62	3
1.3.8.2|1.3.99.28	23
1.4.1.1|1.6.1.2	18
1.14.12.18|1.14.12.19	1
2.6.1.19|2.6.1.82	1
6.2.1.1|6.2.1.3	5
4.2.1.149|4.2.1.150	29
2.5.1.101|2.5.1.97	1
1.3.5.4|1.4.3.16	25
1.20.4.1|3.1.3.48	9
4.2.1.135|5.1.3.2	1
1.3.1.104|1.3.1.9	1
1.2.1.5|1.2.1.79	19
1.17.7.1|1.17.7.3	34
3.6.3.20|3.6.3.39	5
1.2.1.3|1.2.1.79	18
1.2.1.20|1.2.1.3	3
2.6.1.19|2.6.1.48	8
1.1.1.184|1.1.1.274	2
2.6.1.18|2.6.1.62	14
2.3.1.12|2.3.1.61	9
2.6.1.13|2.6.1.82	4
2.6.1.13|2.6.1.62	4
1.1.1.27|1.1.1.37	3
1.2.1.16|1.2.1.79	5
3.6.3.19|3.6.3.32	8
1.1.1.100|1.1.1.311	3
4.2.1.149|4.2.1.17	7
2.2.1.6|4.1.1.47	4
1.8.1.15|1.8.1.4	4
1.2.1.79|1.2.1.92	6
1.2.1.20|1.2.1.92	5
6.2.1.41|6.2.1.44	1
2.3.3.13|4.1.3.39	2
1.2.1.69|1.2.1.88	3
1.2.1.3|1.2.1.88	3
1.18.6.1|1.3.7.7	3
1.1.1.100|1.3.1.28	2
3.6.3.20|3.6.3.32	2
2.1.2.2|3.5.1.10	2
1.2.1.20|1.2.1.5	6
2.6.1.102|2.6.1.98	7
1.1.1.298|1.1.1.313	2
1.1.1.100|1.1.1.107	2
1.2.1.19|1.2.1.20	8
1.2.1.20|1.2.1.69	8
6.1.1.12|6.1.1.6	5
3.6.3.19|3.6.3.27	1
2.1.3.2|2.1.3.6	1
1.10.3.10|1.9.3.1	3
1.1.1.338|1.5.1.49	1
2.4.1.15|2.4.1.213	5
2.6.1.102|2.6.1.34	1
5.4.99.23|5.4.99.26	1
2.6.1.48|2.6.1.62	4
1.12.2.1|1.12.99.6	1
2.7.2.1|2.7.2.15	2
1.2.1.8|1.2.1.92	2
2.6.1.81|2.6.1.82	2
1.18.1.1|1.8.1.9	1
3.6.3.20|3.6.3.27	7
1.1.1.100|1.1.1.36	7
2.6.1.18|5.4.3.8	1
1.2.1.16|1.2.1.8	3
4.2.1.42|4.2.1.7	1
1.1.1.100|1.3.1.104	1
4.2.1.42|4.2.1.8	3
2.6.1.48|2.6.1.81	9
4.2.1.39|4.2.1.42	2
4.2.1.46|5.1.3.25	2
1.1.1.81|1.1.1.95	1
2.3.3.8|6.2.1.5	3
1.14.14.1|1.8.1.2	1
4.2.1.8|4.2.1.90	1
4.2.1.6|4.2.1.90	1
4.2.1.39|4.2.1.90	1
1.10.3.10|1.10.3.14	1
2.8.4.3|2.8.4.4	3
1.1.1.136|1.1.1.336	1
2.7.7.24|2.7.7.27	1
1.3.1.31|1.6.99.1	1
2.7.8.37|3.6.3.27	2
4.2.1.17|5.3.3.18	1
3.1.1.1|3.1.1.5	3
2.6.1.59|2.6.1.98	1
1.3.5.1|1.4.3.16	1
2.4.1.11|2.4.1.250	2
1.3.1.44|1.3.1.9	2
2.7.7.43|2.7.7.82	1
2.1.3.3|2.1.3.9	1
1.1.1.107|1.1.1.311	1
1.3.99.4|1.8.1.9	1
