"name";"temp_final";"dif_final";"cluster"
"Chaetomorpha sp. no data ";10;0;1
"Chaetopeltis orbvicularis";20;0;2
"Chamaesiphon polymorphus";10;0;1
"Chamaesiphon subglobosus";20;0;2
"Chantransia macrospora";20;0;2
"Chara australis";22;0;2
"Chara braunii";20;0.153846153846154;2
"Chara leptospora";20;0;2
"Chara sp. ";22;0;2
"Chara zeylanica";25;0;2
"Characiochloris acuminata";20;0;2
"Characiochloris sasae";20;0;2
"Characium angustum";15;0;1
"Characium polymorphum";20;0;2
"Chattonella marina";20;0;2
"Chattonella subsalsa";20;0;2
"Chlamydomonas applanata";20;0;2
"Chlamydomonas asymmetrica";20;0;2
"Chlamydomonas augustae";20;0;2
"Chlamydomonas coccoides";20;0;2
"Chlamydomonas debaryana";20;0;2
"Chlamydomonas eustigma";20;0;2
"Chlamydomonas fasciata";20;0;2
"Chlamydomonas globosa";20;0;2
"Chlamydomonas inflexa";20;0;2
"Chlamydomonas mexicana";20;0;2
"Chlamydomonas moewusii";20;0;2
"Chlamydomonas nasuta ";20;0;2
"Chlamydomonas noctigama";20;0;2
"Chlamydomonas orbicularis";20;0;2
"Chlamydomonas parkeae";20;0;2
"Chlamydomonas perpusilla";20;0;2
"Chlamydomonas proteus";20;0;2
"Chlamydomonas pseudoplanoconvexa";20;0;2
"Chlamydomonas pulsatilla";20;0;2
"Chlamydomonas pulvinata";20;0;2
"Chlamydomonas pumilio";20;0;2
"Chlamydomonas rapa";20;0;2
"Chlamydomonas reinhardtii";20;0;2
"Chlamydomonas sp. ";20;0;2
"Chlamydomonas sphaeroides";20;0;2
"Chlamydomonas tetragama";20;0;2
"Chlamydomonas typica";20;0;2
"Chlamydomonas ulvaensis";20;0;2
"Chlamydomonas zebra";20;0;2
"Chlorarachnion sp. ";20;0;2
"Chlorella sorokiniana";20;0;2
"Chlorella sp. ";20;0;2
"Chlorella variabilis";20;0;2
"Chlorella vulgaris";20;0;2
"Chlorococcum chlorococcoides";20;0;2
"Chlorococcum echinozygotum";20;0;2
"Chlorococcum elkhartiense";20;0;2
"Chlorococcum hypnosporum";20;0;2
"Chlorococcum sp. ";20;0;2
"Chlorogonium capillatum";20;0;2
"Chlorogonium complexum";20;0;2
"Chlorogonium elongatum";20;0;2
"Chlorogonium euchlorum";20;0;2
"Chloroidium saccharophilum";15;5;1
"Chlorokybus sp. ";20;0;2
"Chloromonas actinochloris";20;0;2
"Chloromonas augustae";20;0;2
"Chloromonas difformis";20;0;2
"Chloromonas fukushimae";5;0;1
"Chloromonas kasaiae";20;0;2
"Chloromonas krienitzii";5;0;1
"Chloromonas miwae";10;0;1
"Chloromonas muramotoi";5;0;1
"Chloromonas pseudoplatyrhyncha";20;0;2
"Chloromonas sp. ";20;0;2
"Chloromonas typhlos";20;0;2
"Chloroparvula japonica";20;0;2
"Chloroparvula pacifica";20;0;2
"Chloroparvula sp. ";20;0;2
"Chloropicon roscoffensis";20;0;2
"Chloropicon sieburthii";20;0;2
"Chloropicon sp. ";22;0;2
"Chlorotetraedron incus";20;0;2
"Chondracanthus exasperatus";10;3.33333333333333;1
"Chondrocystis sp. ";20;0;2
"Chondrus crispus";15;0;1
"Chondrus giganteus";10;0;1
"Chondrus nipponica";10;0;1
"Chorda asiatica";10;0;1
"Chorda borealis";10;0;1
"Chorda filum";10;0;1
"Chorda kikonaiensis";10;0;1
"Chorda rigida";10;0;1
"Chordaria chordaeformis";10;0;1
