name,temp_final,dif_final,cluster
Actinoallomurus vinaceus,28,0,1
Actinoallomurus yoronensis,28,0,1
Actinoalloteichus cyanogriseus,28,0,1
Actinoalloteichus hymeniacidonis,28,0,1
Actinoalloteichus nanshanensis,28,0,1
Actinoalloteichus spitiensis,30,0,1
Actinobacillus anseriformium,37,0,2
Actinobacillus arthritidis,37,0,2
Actinobacillus capsulatus,37,0,2
Actinobacillus delphinicola,37,0,2
Actinobacillus equuli subsp. equuli,37,0,2
Actinobacillus equuli subsp. haemolyticus,37,0,2
Actinobacillus genomospecies 2,37,0,2
Actinobacillus hominis,37,0,2
Actinobacillus indolicus,37,0,2
Actinobacillus lignieresii,37,0,2
Actinobacillus muris,37,0,2
Actinobacillus pleuropneumoniae,37,0,2
Actinobacillus porcinus,37,0,2
Actinobacillus rossii,37,0,2
Actinobacillus scotiae,37,0,2
Actinobacillus seminis,37,0,2
Actinobacillus succinogenes,37,0,2
Actinobacillus suis,37,0,2
Actinobacillus ureae,37,0,2
Actinobaculum massiliense,37,0,2
Actinobaculum schaalii,37,0,2
Actinobaculum suis,37,0,2
Actinobaculum urinale,37,0,2
Actinocatenispora rupis,28,0,1
Actinocatenispora sera,28,0,1
Actinocatenispora thailandica,28,0,1
Actinocorallia aurantiaca,32.5,4.5,2
Actinocorallia aurea,28,0,1
Actinocorallia cavernae,28,0,1
Actinocorallia glomerata,28,0,1
Actinocorallia herbida,28,0,1
Actinocorallia libanotica,28,0,1
Actinocorallia longicatena,28,0,1
Actinokineospora auranticolor,28,0,1
Actinokineospora baliensis,28,0,1
Actinokineospora bangkokensis,28,0,1
Actinokineospora cibodasensis,28,0,1
Actinokineospora diospyrosa,28,0,1
Actinokineospora enzanensis,28,0,1
Actinokineospora fastidiosa,28,0,1
Actinokineospora globicatena,28,0,1
Actinokineospora inagensis,28,0,1
Actinokineospora riparia,28,0,1
Actinokineospora soli,28,0,1
Actinokineospora terrae,28,0,1
Actinomadura alba,28,0,1
Actinomadura apis,28,0,1
Actinomadura atramentaria,28,0,1
Actinomadura bangladeshensis,28,0,1
Actinomadura catellatispora,28,0,1
Actinomadura chibensis,37,0,2
Actinomadura chokoriensis,28,0,1
Actinomadura citrea,28,0,1
Actinomadura coerulea,28,0,1
Actinomadura cremea,28,0,1
Actinomadura echinospora,37,0,2
Actinomadura fibrosa,28,0,1
Actinomadura flavalba,28,0,1
Actinomadura formosensis,28,0,1
Actinomadura fulvescens,37,0,2
Actinomadura geliboluensis,28,0,1
Actinomadura glauciflava,28,0,1
Actinomadura hallensis,28,0,1
Actinomadura hibisca,28,0,1
Actinomadura keratinilytica,45,0,2
Actinomadura kijaniata,28,0,1
Actinomadura latina,29,3.333333333,1
Actinomadura livida,28,0,1
Actinomadura luteofluorescens,28,0,1
Actinomadura macra,28,0,1
Actinomadura madurae,28,3,1
Actinomadura meridiana,28,0,1
Actinomadura mexicana,28,0,1
Actinomadura meyerae,28,0,1
Actinomadura namibiensis,28,0,1
Actinomadura napierensis,28,0,1
Actinomadura nitritigenes,28,0,1
Actinomadura oligospora,28,0,1
Actinomadura pelletieri,28,3,1
Actinomadura rifamycini,28,0,1
Actinomadura rubrobrunea,55,0,3
Actinomadura rudentiformis,28,0,1
Actinomadura rugatobispora,28,0,1
Actinomadura rupiterrae,28,0,1
Actinomadura scrupuli,28,0,1
Actinomadura sediminis,28,0,1
Actinomadura sp.,28,1.3,1
Actinomadura sputi,28,0,1
Actinomadura umbrina,37,0,2
Actinomadura verrucosospora,32.5,4.5,2
Actinomadura vinacea,28,0,1
Actinomadura viridilutea,45,0,2
Actinomadura viridis,32.5,4.5,2
Actinomadura xylanilytica,28,0,1
Actinomucor elegans,24,0,1
Actinomyces bovis,37,0,2
Actinomyces bowdenii,37,0,2
Actinomyces canis,37,0,2
Actinomyces cardiffensis,37,0,2
Actinomyces catuli,37,0,2
Actinomyces coleocanis,37,0,2
Actinomyces dentalis,37,0,2
Actinomyces denticolens,37,0,2
Actinomyces europaeus,37,0,2
Actinomyces funkei,37,0,2
Actinomyces georgiae,37,0,2
Actinomyces gerencseriae,37,0,2
Actinomyces graevenitzii,37,0,2
Actinomyces hominis,35,0,2
Actinomyces hongkongensis,37,0,2
Actinomyces hordeovulneris,37,0,2
Actinomyces hyovaginalis,37,0,2
Actinomyces israelii,37,0,2
Actinomyces johnsonii,37,0,2
Actinomyces marimammalium,37,0,2
Actinomyces massiliensis,37,0,2
Actinomyces meyeri,37,0,2
Actinomyces naeslundii,37,0,2
Actinomyces nasicola,37,0,2
Actinomyces naturae,37,0,2
Actinomyces neuii subsp. anitratus,37,0,2
Actinomyces neuii subsp. neuii,37,0,2
Actinomyces odontolyticus,37,0,2
Actinomyces oricola,37,0,2
Actinomyces oris,37,0,2
Actinomyces radicidentis,37,0,2
Actinomyces radingae,37,0,2
Actinomyces ruminicola,37,0,2
Actinomyces sp.,37,0,2
Actinomyces suimastitidis,37,0,2
Actinomyces timonensis,37,0,2
Actinomyces turicensis,37,0,2
Actinomyces urogenitalis,37,0,2
Actinomyces vaccimaxillae,37,0,2
Actinomyces viscosus,37,0,2
Actinomyces weissii,37,0,2
Actinomycetospora atypica,28,0,1
Actinomycetospora chiangmaiensis,28,0,1
Actinomycetospora chibensis,28,0,1
Actinomycetospora chlora,28,0,1
Actinomycetospora cinnamomea,28,0,1
Actinomycetospora corticicola,28,0,1
Actinomycetospora iriomotensis,28,0,1
Actinomycetospora lutea,28,0,1
Actinomycetospora rishiriensis,28,0,1
Actinomycetospora straminea,28,0,1
Actinomycetospora succinea,28,0,1
Actinophytocola burenkhanensis,28,0,1
Actinophytocola corallina,28,0,1
Actinophytocola gilvus,28,0,1
Actinophytocola oryzae,28,0,1
Actinophytocola sediminis,28,0,1
Actinophytocola timorensis,28,0,1
Actinophytocola xinjiangensis,28,0,1
Actinoplanes abujensis,28,0,1
Actinoplanes atraurantiacus,28,0,1
Actinoplanes auranticolor,28,0,1
Actinoplanes brasiliensis,28,0,1
Actinoplanes campanulatus,28,0,1
Actinoplanes capillaceus,28,0,1
Actinoplanes consettensis,28,0,1
Actinoplanes couchii,28,0,1
Actinoplanes cyaneus,28,0,1
Actinoplanes deccanensis,28,0,1
Actinoplanes derwentensis,28,0,1
Actinoplanes digitatis,28,0,1
Actinoplanes durhamensis,28,0,1
Actinoplanes ferrugineus,28,0,1
Actinoplanes friuliensis,28,0,1
Actinoplanes garbadinensis,28,0,1
Actinoplanes globisporus,28,0,1
Actinoplanes gratiae,28,0,1
Actinoplanes hulinensis,28,0,1
Actinoplanes humidus,28,0,1
Actinoplanes ianthinogenes,28,0,1
Actinoplanes italicus,28,0,1
Actinoplanes liguriensis,28,0,1
Actinoplanes lobatus,37,0,2
Actinoplanes lutulentus,28,0,1
Actinoplanes missouriensis,28,0,1
Actinoplanes nipponensis,28,0,1
Actinoplanes octamycinicus,28,0,1
Actinoplanes palleronii,28,0,1
Actinoplanes philippinensis,28,0,1
Actinoplanes rectilineatus,28,0,1
Actinoplanes regularis,28,0,1
Actinoplanes rishiriensis,28,0,1
Actinoplanes sichuanensis,28,0,1
Actinoplanes sp.,28,0,1
Actinoplanes teichomyceticus,30,0,1
Actinoplanes tereljensis,28,0,1
Actinoplanes toevensis,28,0,1
Actinoplanes utahensis,28,0,1
Actinoplanes xinjiangensis,28,0,1
Actinopolymorpha alba,28,0,1
Actinopolymorpha cephalotaxi,28,0,1
Actinopolymorpha pittospori,28,0,1
Actinopolymorpha rutila,28,0,1
Actinopolymorpha singaporensis,28,0,1
Actinopolyspora alba,37,0,2
Actinopolyspora algeriensis,28,0,1
Actinopolyspora erythraea,28,0,1
Actinopolyspora halophila,37,0,2
Actinopolyspora iraqiensis,28,0,1
Actinopolyspora lacussalsi,37,0,2
Actinopolyspora mortivallis,45,0,2
Actinopolyspora mzabensis,28,0,1
Actinopolyspora righensis,28,0,1
Actinopolyspora saharensis,28,0,1
Actinopolyspora salina,37,0,2
Actinopolyspora sp.,37,2.25,2
Actinopolyspora xinjiangensis,37,0,2
Actinospica acidiphila,28,0,1
Actinospica robiniae,28,0,1
Actinosynnema mirum,28,0,1
Actinosynnema pretiosum subsp. auranticum,28,0,1
Actinosynnema pretiosum subsp. pretiosum,28,0,1
Actinotalea fermentans,30,0,1
Adhaeribacter aquaticus,30,0,1
Adlercreutzia equolifaciens,37,0,2
Advenella incenata,37,0,2
Advenella kashmirensis,28,0,1
Advenella mimigardefordensis,28,0,1
Aequorivita capsosiphonis,25,0,1
Aequorivita crocea,20,0,1
Aequorivita lipolytica,20,0,1
Aequorivita sublithincola,4,0,0
Aequorivita viscosa,28,0,1
Aeribacillus pallidus,57.5,2.5,3
Aeriscardovia aeriphila,37,0,2
Aerococcus christensenii,37,0,2
Aerococcus sanguinicola,33.5,3.5,2
Aerococcus sp.,28,0,1
Aerococcus suis,37,0,2
Aerococcus urinae,37,0,2
Aerococcus urinaeequi,30,0,1
Aerococcus urinaehominis,37,0,2
Aerococcus vaginalis,30,0,1
