epoch,train_loss,valid_loss,accuracy,time
0,5.814255,#na#,00:09
epoch,train_loss,valid_loss,accuracy,time
0,3.918170,3.916042,0.058611,03:08
1,3.888597,3.888641,0.063909,03:08
epoch,train_loss,valid_loss,accuracy,time
0,5.636666,#na#,00:16
epoch,train_loss,valid_loss,accuracy,time
0,3.949456,3.945877,0.054581,02:42
1,3.919781,3.914912,0.059432,02:42
2,3.899234,3.895965,0.063680,02:43
3,3.892877,3.897966,0.062714,02:42
4,3.884913,3.892612,0.064135,02:42
5,3.875898,3.889012,0.064654,02:42
6,3.865553,3.886709,0.065423,02:42
7,3.851821,3.885499,0.065774,02:42
8,3.842276,3.887775,0.065761,02:42
9,3.823243,3.887706,0.066022,02:43
10,3.805154,3.890585,0.065984,02:42
11,3.772677,3.898334,0.066121,02:42
12,3.737071,3.911118,0.064874,02:42
13,3.698450,3.931031,0.063702,02:42
14,3.652113,3.954738,0.062533,02:42
15,3.612910,3.975919,0.061668,02:42
16,3.556644,4.002350,0.060502,02:42
17,3.519956,4.024490,0.059722,02:42
18,3.500617,4.035098,0.059366,02:42
19,3.489311,4.041414,0.059265,02:42
epoch,train_loss,valid_loss,accuracy,time
0,10.375549,#na#,00:16
epoch,train_loss,valid_loss,accuracy,time
0,3.501664,4.034859,0.059151,02:42
1,3.536797,4.020940,0.059730,02:43
2,3.602338,3.995458,0.059913,02:43
3,3.664751,3.962211,0.060970,02:43
4,3.723078,3.939998,0.061878,02:43
5,3.745769,3.929591,0.062154,02:42
6,3.761747,3.924110,0.062058,02:42
7,3.745666,3.926756,0.062420,02:42
8,3.732562,3.935199,0.062264,02:42
9,3.712959,3.942609,0.061908,02:42
10,3.698364,3.951953,0.060704,02:42
11,3.641268,3.976099,0.060657,02:42
12,3.595922,4.000896,0.059252,02:42
13,3.541938,4.028420,0.058150,02:42
14,3.488961,4.067181,0.057332,02:42
15,3.424927,4.099549,0.056293,02:42
16,3.377694,4.133494,0.055445,02:42
17,3.338036,4.158019,0.054988,02:42
18,3.308263,4.174431,0.054491,02:42
19,3.297430,4.180428,0.054459,02:42
