epoch,train_loss,valid_loss,accuracy,time
0,1.409070,1.395941,0.332850,03:43
1,1.368059,1.362832,0.352297,03:43
2,1.350434,1.346662,0.357137,03:43
3,1.339611,1.350642,0.353195,03:43
4,1.488318,1.416000,0.281248,03:42
5,1.415264,1.414328,0.270871,03:42
6,1.408689,1.413219,0.282668,03:42
7,1.389358,1.395586,0.317807,03:42
8,1.365993,1.358034,0.348885,03:42
9,1.357332,1.359962,0.349304,03:42
10,1.355315,1.352285,0.352327,03:42
11,1.352377,1.357344,0.347469,03:42
12,1.349240,1.348157,0.354846,03:42
13,1.345437,1.344788,0.356731,03:42
14,1.346575,1.344692,0.356230,03:42
15,1.343653,1.342218,0.358686,03:42
16,1.342055,1.340494,0.359985,03:43
17,1.341094,1.339315,0.360358,03:43
18,1.340469,1.339000,0.360740,03:43
19,1.339228,1.338842,0.360811,03:43
epoch,train_loss,valid_loss,accuracy,time
0,1.408748,1.396121,0.332850,03:43
1,1.369730,1.363016,0.352297,03:43
2,1.350015,1.346896,0.357137,03:43
3,1.340030,1.350576,0.353195,03:42
4,1.483202,1.415612,0.281248,03:42
5,1.415209,1.413822,0.270871,03:42
6,1.408302,1.413169,0.282668,03:42
7,1.389743,1.396008,0.317807,03:42
8,1.365324,1.358146,0.348885,03:42
9,1.358926,1.359854,0.349304,03:42
10,1.354349,1.352409,0.352327,03:42
11,1.351556,1.357548,0.347469,03:42
12,1.349069,1.348361,0.354846,03:42
13,1.345298,1.345004,0.356731,03:42
14,1.344817,1.344893,0.356230,03:42
15,1.344333,1.342351,0.358686,03:43
16,1.343015,1.340668,0.359985,03:43
17,1.340324,1.339494,0.360358,03:43
18,1.339792,1.339153,0.360740,03:43
19,1.340173,1.339050,0.360811,03:43
