epoch,train_loss,valid_loss,accuracy,time
0,1.697623,1.599755,0.297969,03:05
1,1.507984,1.457489,0.328399,03:06
2,1.442493,1.411168,0.339613,03:05
3,1.391000,1.377858,0.351468,03:06
4,1.394371,1.395064,0.333761,03:06
5,1.367599,1.358219,0.354038,03:05
6,1.353063,1.347884,0.360434,03:06
7,1.345070,1.343644,0.364034,03:06
8,1.341231,1.336380,0.367375,03:06
9,1.333839,1.334108,0.368846,03:06
10,1.331192,1.330908,0.370684,03:06
11,1.332521,1.330024,0.371152,03:06
12,1.327945,1.328073,0.372225,03:06
13,1.326725,1.327031,0.373116,03:06
14,1.321641,1.325047,0.374390,03:06
15,1.318124,1.324087,0.375054,03:06
16,1.315991,1.322294,0.375825,03:06
17,1.313313,1.321741,0.376067,03:06
18,1.312039,1.320781,0.376411,03:06
19,1.312163,1.320779,0.376388,03:06
epoch,train_loss,valid_loss,accuracy,time
0,1.697740,1.599720,0.297969,03:06
1,1.508286,1.457694,0.328399,03:06
2,1.443871,1.411189,0.339613,03:05
3,1.392557,1.377880,0.351468,03:06
4,1.394762,1.394964,0.333761,03:05
5,1.366477,1.358428,0.354038,03:06
6,1.352588,1.347979,0.360434,03:06
7,1.345044,1.344113,0.364034,03:06
8,1.339961,1.336268,0.367375,03:06
9,1.334353,1.333888,0.368846,03:06
10,1.332499,1.330693,0.370684,03:06
11,1.331162,1.329922,0.371152,03:06
12,1.327497,1.327918,0.372225,03:06
13,1.325182,1.326829,0.373116,03:06
14,1.322240,1.324543,0.374390,03:06
15,1.318890,1.323450,0.375054,03:05
16,1.315617,1.321515,0.375825,03:06
17,1.313316,1.320770,0.376067,03:06
18,1.311946,1.319779,0.376411,03:06
19,1.311976,1.319746,0.376388,03:05
