epoch,train_loss,valid_loss,accuracy,time
0,1.375874,1.371739,0.346045,04:03
1,1.346212,1.347481,0.357457,04:03
2,1.336591,1.336650,0.363121,04:03
3,1.333250,1.334501,0.367092,04:03
4,1.331143,1.331458,0.369437,04:03
5,1.328635,1.329239,0.370460,04:03
6,1.324131,1.326586,0.372622,04:03
7,1.317443,1.323577,0.374042,04:04
8,1.314658,1.322167,0.375518,04:03
9,1.311812,1.320690,0.375985,04:03
10,1.304502,1.319585,0.376345,04:03
11,1.299697,1.320354,0.376132,04:03
12,1.295423,1.321087,0.375321,04:03
13,1.286337,1.322491,0.374247,04:02
14,1.283585,1.325983,0.373113,04:02
15,1.271924,1.330304,0.372253,04:04
16,1.264030,1.333182,0.371065,04:03
17,1.261743,1.335387,0.370285,04:03
18,1.254467,1.337625,0.369743,04:03
19,1.254235,1.337706,0.369661,04:03
epoch,train_loss,valid_loss,accuracy,time
0,1.374830,1.371829,0.346045,04:03
1,1.345131,1.347601,0.357457,04:03
2,1.337679,1.336768,0.363121,04:03
3,1.332289,1.334476,0.367092,04:03
4,1.331356,1.331625,0.369437,04:03
5,1.327574,1.329486,0.370460,04:03
6,1.322890,1.327242,0.372622,04:03
7,1.317470,1.324400,0.374042,04:04
8,1.313247,1.323173,0.375518,04:03
9,1.309688,1.321968,0.375985,04:03
10,1.306746,1.320886,0.376345,04:03
11,1.299678,1.321646,0.376132,04:03
12,1.294037,1.322528,0.375321,04:03
13,1.288473,1.323787,0.374247,04:03
14,1.281856,1.327190,0.373113,04:02
15,1.274781,1.331271,0.372253,04:04
16,1.265005,1.334418,0.371065,04:03
17,1.255193,1.336559,0.370285,04:03
18,1.255059,1.338817,0.369743,04:03
19,1.253710,1.339095,0.369661,04:03
