epoch,train_loss,valid_loss,accuracy,time
0,1.452534,1.439704,0.336318,03:35
1,1.366940,1.366316,0.353342,03:34
2,1.344969,1.343649,0.361968,03:34
3,1.334793,1.337730,0.365728,03:35
4,1.332943,1.336474,0.365226,03:34
5,1.327866,1.329224,0.370862,03:35
6,1.322791,1.327226,0.372294,03:35
7,1.320432,1.324574,0.374581,03:35
8,1.315848,1.323038,0.375540,03:35
9,1.312242,1.322091,0.376724,03:35
10,1.307911,1.321018,0.376760,03:35
11,1.304479,1.321310,0.376691,03:35
12,1.297563,1.320149,0.376637,03:35
13,1.293596,1.321963,0.376339,03:35
14,1.287876,1.322822,0.375695,03:34
15,1.283360,1.323143,0.375486,03:34
16,1.283787,1.324346,0.374880,03:34
17,1.277783,1.325083,0.374502,03:34
18,1.275764,1.325692,0.374337,03:35
19,1.278660,1.325729,0.374321,03:35
epoch,train_loss,valid_loss,accuracy,time
0,1.453165,1.439765,0.336318,03:35
1,1.366649,1.366338,0.353342,03:34
2,1.348567,1.343649,0.361968,03:35
3,1.334175,1.337666,0.365728,03:35
4,1.331942,1.336492,0.365226,03:34
5,1.327452,1.329037,0.370862,03:35
6,1.324831,1.326800,0.372294,03:35
7,1.319108,1.323784,0.374581,03:35
8,1.315501,1.322195,0.375540,03:35
9,1.311270,1.320813,0.376724,03:35
10,1.308190,1.319538,0.376760,03:35
11,1.303396,1.320065,0.376691,03:34
12,1.299655,1.318951,0.376637,03:35
13,1.293066,1.320607,0.376339,03:35
14,1.289262,1.321586,0.375695,03:34
15,1.286816,1.321832,0.375486,03:34
16,1.282121,1.322958,0.374880,03:34
17,1.277637,1.323806,0.374502,03:34
18,1.278048,1.324386,0.374337,03:35
19,1.274703,1.324385,0.374321,03:35
