epoch,train_loss,valid_loss,accuracy,time
0,1.873526,1.843480,0.242443,03:29
1,1.555060,1.533838,0.252394,03:29
2,1.449308,1.445199,0.254491,03:29
3,1.424362,1.423530,0.254526,03:28
4,1.418975,1.417818,0.254820,03:29
5,1.372157,1.367826,0.342966,03:29
6,1.355189,1.352211,0.359568,03:29
7,1.346729,1.343814,0.364473,03:29
8,1.342623,1.340433,0.366662,03:29
9,1.337617,1.338288,0.368487,03:30
10,1.337774,1.335812,0.370155,03:29
11,1.335762,1.334672,0.371141,03:29
12,1.332200,1.333624,0.371762,03:29
13,1.329573,1.331926,0.372813,03:29
14,1.326467,1.330339,0.373924,03:29
15,1.322679,1.329645,0.373914,03:29
16,1.320782,1.328589,0.374573,03:29
17,1.319326,1.328225,0.374586,03:29
18,1.316534,1.328128,0.374714,03:29
19,1.316833,1.328212,0.374695,03:29
epoch,train_loss,valid_loss,accuracy,time
0,1.873733,1.843606,0.242443,03:29
1,1.554762,1.533922,0.252394,03:29
2,1.449164,1.445074,0.254491,03:29
3,1.424041,1.423050,0.254526,03:28
4,1.418408,1.417245,0.254820,03:29
5,1.373287,1.367646,0.342966,03:29
6,1.354617,1.351886,0.359568,03:29
7,1.346564,1.343885,0.364473,03:29
8,1.343106,1.340567,0.366662,03:29
9,1.338694,1.338169,0.368487,03:30
10,1.335052,1.335850,0.370155,03:29
11,1.335606,1.334650,0.371141,03:29
12,1.333048,1.333396,0.371762,03:29
13,1.328604,1.331567,0.372813,03:29
14,1.326633,1.329754,0.373924,03:29
15,1.322387,1.328752,0.373914,03:29
16,1.319410,1.327823,0.374573,03:29
17,1.318266,1.327428,0.374586,03:29
18,1.317574,1.327235,0.374714,03:29
19,1.317193,1.327311,0.374695,03:29
