epoch,train_loss,valid_loss,accuracy,time
0,1.569938,1.513111,0.315696,03:13
1,1.427523,1.407295,0.343970,03:14
2,1.373811,1.372152,0.349210,03:14
3,1.350544,1.346403,0.363339,03:13
4,1.345512,1.340845,0.364704,03:13
5,1.335563,1.332567,0.369146,03:14
6,1.330913,1.330980,0.370487,03:13
7,1.326399,1.328292,0.371799,03:14
8,1.324093,1.325846,0.373372,03:14
9,1.317880,1.322538,0.375417,03:14
10,1.312063,1.319973,0.376611,03:13
11,1.308027,1.320714,0.377448,03:14
12,1.306503,1.319743,0.377826,03:13
13,1.300376,1.318725,0.377622,03:13
14,1.297014,1.317824,0.377728,03:13
15,1.293703,1.318143,0.377473,03:14
16,1.290263,1.318940,0.377378,03:13
17,1.288910,1.319105,0.377073,03:13
18,1.287320,1.319804,0.376978,03:13
19,1.285725,1.319632,0.377009,03:13
epoch,train_loss,valid_loss,accuracy,time
0,1.569964,1.513295,0.315696,03:13
1,1.427299,1.407411,0.343970,03:14
2,1.374945,1.372131,0.349210,03:14
3,1.350141,1.346472,0.363339,03:13
4,1.344604,1.340860,0.364704,03:13
5,1.335032,1.332572,0.369146,03:14
6,1.330206,1.331020,0.370487,03:13
7,1.326970,1.328170,0.371799,03:14
8,1.324537,1.325606,0.373372,03:14
9,1.318934,1.321957,0.375417,03:14
10,1.312588,1.319153,0.376611,03:13
11,1.309687,1.319618,0.377448,03:14
12,1.306926,1.318507,0.377826,03:13
13,1.300907,1.317535,0.377622,03:13
14,1.296742,1.316657,0.377728,03:13
15,1.292505,1.317052,0.377473,03:14
16,1.290499,1.317811,0.377378,03:13
17,1.287352,1.317969,0.377073,03:13
18,1.288074,1.318718,0.376978,03:13
19,1.285547,1.318530,0.377009,03:13
