epoch,train_loss,valid_loss,accuracy,time
0,1.714714,1.639982,0.302414,03:10
1,1.500094,1.479922,0.266437,03:10
2,1.445012,1.438833,0.265531,03:10
3,1.386644,1.383347,0.337970,03:10
4,1.360207,1.358618,0.352255,03:10
5,1.343020,1.340195,0.365129,03:10
6,1.335159,1.333869,0.368543,03:10
7,1.330758,1.332380,0.369771,03:10
8,1.330164,1.330687,0.370342,03:10
9,1.323530,1.325074,0.373556,03:10
10,1.318889,1.322380,0.374730,03:10
11,1.313089,1.321528,0.376137,03:10
12,1.309129,1.320252,0.377045,03:10
13,1.305789,1.317829,0.377284,03:10
14,1.301068,1.318128,0.377131,03:10
15,1.298177,1.318249,0.376770,03:10
16,1.293564,1.318217,0.376725,03:10
17,1.292949,1.318766,0.376455,03:10
18,1.290442,1.318913,0.376413,03:10
19,1.290083,1.318997,0.376377,03:10
epoch,train_loss,valid_loss,accuracy,time
0,1.714703,1.639931,0.302414,03:10
1,1.500129,1.480053,0.266437,03:10
2,1.445277,1.439163,0.265531,03:10
3,1.387522,1.383292,0.337970,03:10
4,1.357209,1.358669,0.352255,03:10
5,1.342611,1.340163,0.365129,03:10
6,1.334686,1.333946,0.368543,03:10
7,1.330619,1.332434,0.369771,03:10
8,1.328890,1.330919,0.370342,03:10
9,1.324540,1.325546,0.373556,03:11
10,1.318106,1.323161,0.374730,03:10
11,1.315322,1.322386,0.376137,03:11
12,1.309698,1.321183,0.377045,03:10
13,1.305196,1.318797,0.377284,03:10
14,1.301007,1.319133,0.377131,03:10
15,1.299273,1.319593,0.376770,03:10
16,1.294181,1.319403,0.376725,03:10
17,1.292354,1.320013,0.376455,03:10
18,1.290610,1.320099,0.376413,03:10
19,1.289171,1.320199,0.376377,03:10
