epoch,train_loss,valid_loss,accuracy,time
0,1.593725,1.520347,0.290564,03:07
1,1.472315,1.450020,0.304109,03:08
2,1.577274,1.458943,0.252573,03:08
3,1.457306,1.446887,0.253364,03:08
4,1.448324,1.446091,0.252575,03:08
5,1.437225,1.431921,0.252567,03:07
6,1.435781,1.433120,0.252662,03:08
7,1.436623,1.432295,0.252537,03:08
8,1.432500,1.430878,0.252547,03:07
9,1.431054,1.427787,0.252533,03:08
10,1.423620,1.420221,0.263541,03:07
11,1.419603,1.420978,0.281904,03:07
12,1.416855,1.414615,0.275461,03:07
13,1.399870,1.393609,0.302154,03:08
14,1.385867,1.374939,0.328896,03:08
15,1.374446,1.367824,0.340880,03:08
16,1.365706,1.363591,0.347795,03:08
17,1.361892,1.359078,0.350032,03:08
18,1.360280,1.358083,0.351263,03:08
19,1.360025,1.358027,0.351550,03:08
epoch,train_loss,valid_loss,accuracy,time
0,1.593798,1.520706,0.290564,03:08
1,1.472789,1.449732,0.304109,03:08
2,1.567486,1.459947,0.252573,03:07
3,1.456587,1.447344,0.253364,03:08
4,1.447949,1.447227,0.252575,03:08
5,1.437004,1.432703,0.252567,03:07
6,1.435750,1.434112,0.252662,03:08
7,1.436358,1.433332,0.252537,03:08
8,1.432387,1.432057,0.252547,03:07
9,1.431036,1.428468,0.252533,03:08
10,1.423605,1.419822,0.263541,03:07
11,1.420574,1.420569,0.281904,03:07
12,1.417423,1.414197,0.275461,03:07
13,1.400211,1.393339,0.302154,03:08
14,1.386108,1.374878,0.328896,03:08
15,1.373777,1.367808,0.340880,03:08
16,1.365428,1.363639,0.347795,03:08
17,1.361585,1.359097,0.350032,03:08
18,1.360012,1.358127,0.351263,03:08
19,1.359472,1.358090,0.351550,03:08
