epoch,train_loss,valid_loss,accuracy,time
0,1.353631,1.353238,0.354520,05:16
1,1.335204,1.336768,0.365184,05:17
2,1.332599,1.335517,0.366355,05:18
3,1.331626,1.335677,0.366261,05:19
4,1.333475,1.334707,0.366348,05:18
5,1.331051,1.332763,0.367253,05:19
6,1.328861,1.333225,0.368030,05:19
7,1.329803,1.330328,0.369593,05:20
8,1.325707,1.329286,0.370368,05:19
9,1.324232,1.327360,0.371367,05:19
10,1.318859,1.326234,0.372674,05:19
11,1.316165,1.324218,0.373795,05:20
12,1.313035,1.323312,0.374291,05:20
13,1.311277,1.322622,0.375001,05:20
14,1.304653,1.322487,0.375120,05:19
15,1.299581,1.322767,0.375206,05:19
16,1.296307,1.323734,0.374642,05:20
17,1.293334,1.324827,0.374133,05:18
18,1.294822,1.325644,0.373862,05:19
19,1.287475,1.325927,0.373699,05:18
epoch,train_loss,valid_loss,accuracy,time
0,1.354215,1.353375,0.354520,05:16
1,1.335925,1.336714,0.365184,05:17
2,1.333066,1.335491,0.366355,05:18
3,1.331790,1.335647,0.366261,05:18
4,1.332247,1.334589,0.366348,05:18
5,1.333211,1.332562,0.367253,05:19
6,1.329823,1.332805,0.368030,05:19
7,1.328061,1.330013,0.369593,05:20
8,1.323890,1.328417,0.370368,05:19
9,1.322319,1.326381,0.371367,05:19
10,1.319049,1.325210,0.372674,05:19
11,1.315443,1.323021,0.373795,05:19
12,1.312767,1.322043,0.374291,05:19
13,1.308665,1.321225,0.375001,05:19
14,1.307320,1.321003,0.375120,05:19
15,1.298639,1.321183,0.375206,05:19
16,1.297334,1.322215,0.374642,05:19
17,1.289750,1.323227,0.374133,05:18
18,1.287356,1.324080,0.373862,05:19
19,1.285918,1.324385,0.373699,05:18
