epoch,train_loss,valid_loss,accuracy,time
0,1.420233,1.405219,0.331213,03:30
1,1.374899,1.369601,0.348963,03:30
2,1.350376,1.344948,0.359320,03:30
3,1.347375,1.351612,0.354992,03:30
4,1.335339,1.333160,0.367182,03:30
5,1.330296,1.331367,0.369321,03:30
6,1.328764,1.328627,0.370855,03:30
7,1.327021,1.327959,0.371411,03:30
8,1.322369,1.323424,0.374452,03:30
9,1.316643,1.323755,0.375822,03:30
10,1.312070,1.320728,0.376460,03:30
11,1.307189,1.320371,0.377439,03:30
12,1.300524,1.319646,0.377349,03:30
13,1.295841,1.319713,0.377063,03:29
14,1.294028,1.322044,0.376261,03:30
15,1.287309,1.322054,0.376054,03:29
16,1.282423,1.323249,0.375520,03:29
17,1.281179,1.323826,0.375188,03:29
18,1.276652,1.324525,0.375037,03:29
19,1.276542,1.324788,0.374966,03:30
epoch,train_loss,valid_loss,accuracy,time
0,1.420275,1.405301,0.331213,03:30
1,1.375480,1.369496,0.348963,03:30
2,1.349847,1.345002,0.359320,03:30
3,1.343571,1.351498,0.354992,03:30
4,1.335318,1.333209,0.367182,03:30
5,1.329990,1.331260,0.369321,03:30
6,1.330460,1.328607,0.370855,03:30
7,1.326272,1.327910,0.371411,03:30
8,1.322343,1.322928,0.374452,03:30
9,1.317155,1.322940,0.375822,03:30
10,1.312049,1.319801,0.376460,03:30
11,1.306317,1.319381,0.377439,03:30
12,1.302103,1.318560,0.377349,03:29
13,1.296416,1.318610,0.377063,03:29
14,1.292816,1.320847,0.376261,03:30
15,1.287283,1.320915,0.376054,03:29
16,1.283509,1.322009,0.375520,03:29
17,1.279776,1.322520,0.375188,03:29
18,1.277406,1.323346,0.375037,03:29
19,1.277251,1.323541,0.374966,03:30
