epoch,train_loss,valid_loss,accuracy,time
0,1.531802,1.480400,0.315838,03:12
1,1.426088,1.404768,0.341139,03:12
2,1.379753,1.368502,0.352398,03:11
3,1.355567,1.350612,0.359935,03:12
4,1.346806,1.346202,0.361253,03:12
5,1.340189,1.335851,0.366591,03:12
6,1.330667,1.331276,0.369859,03:12
7,1.329879,1.330996,0.369725,03:11
8,1.326405,1.328585,0.372254,03:12
9,1.323014,1.325551,0.373376,03:12
10,1.316876,1.322134,0.375702,03:12
11,1.312570,1.319361,0.376931,03:12
12,1.307616,1.318770,0.377285,03:12
13,1.306063,1.316887,0.377621,03:12
14,1.299779,1.317585,0.377913,03:12
15,1.296047,1.317022,0.377590,03:11
16,1.292580,1.316159,0.377551,03:12
17,1.289926,1.317957,0.377132,03:11
18,1.290561,1.317863,0.377105,03:12
19,1.290086,1.317946,0.377025,03:11
epoch,train_loss,valid_loss,accuracy,time
0,1.531896,1.480257,0.315838,03:12
1,1.425449,1.404770,0.341139,03:12
2,1.379843,1.368449,0.352398,03:12
3,1.354190,1.350556,0.359935,03:12
4,1.346365,1.346051,0.361253,03:12
5,1.338331,1.335943,0.366591,03:12
6,1.332013,1.331418,0.369859,03:12
7,1.331300,1.331067,0.369725,03:12
8,1.324578,1.328653,0.372254,03:11
9,1.323515,1.325944,0.373376,03:12
10,1.318195,1.322826,0.375702,03:12
11,1.311962,1.320143,0.376931,03:12
12,1.309154,1.319923,0.377285,03:12
13,1.304239,1.318139,0.377621,03:12
14,1.301529,1.318676,0.377913,03:12
15,1.295648,1.318298,0.377590,03:12
16,1.295370,1.317435,0.377551,03:12
17,1.291275,1.319241,0.377132,03:11
18,1.288733,1.319230,0.377105,03:12
19,1.290530,1.319209,0.377025,03:11
