epoch,train_loss,valid_loss,accuracy,time
0,1.548484,1.491133,0.312397,03:10
1,1.444138,1.418283,0.332126,03:10
2,1.392213,1.400381,0.329176,03:09
3,1.374879,1.362953,0.353403,03:09
4,1.355555,1.361209,0.350869,03:10
5,1.343103,1.339786,0.364370,03:10
6,1.337098,1.335853,0.367074,03:10
7,1.331253,1.331888,0.369704,03:10
8,1.329374,1.329857,0.371386,03:10
9,1.325508,1.328882,0.371701,03:10
10,1.324175,1.326931,0.373075,03:10
11,1.321276,1.325390,0.374043,03:10
12,1.317167,1.322635,0.375224,03:10
13,1.314211,1.320758,0.376430,03:10
14,1.308949,1.319449,0.376922,03:10
15,1.306522,1.318884,0.377173,03:10
16,1.302298,1.317735,0.377652,03:10
17,1.302605,1.317727,0.377615,03:10
18,1.299235,1.317270,0.377589,03:10
19,1.300293,1.317221,0.377598,03:10
epoch,train_loss,valid_loss,accuracy,time
0,1.548402,1.491748,0.312397,03:10
1,1.444005,1.418416,0.332126,03:10
2,1.391725,1.400672,0.329176,03:09
3,1.376569,1.363165,0.353403,03:10
4,1.355729,1.361418,0.350869,03:10
5,1.346200,1.339744,0.364370,03:10
6,1.336488,1.335755,0.367074,03:10
7,1.331152,1.331848,0.369704,03:10
8,1.328857,1.329748,0.371386,03:10
9,1.325973,1.328805,0.371701,03:10
10,1.323249,1.326819,0.373075,03:10
11,1.321479,1.325306,0.374043,03:10
12,1.317943,1.321957,0.375224,03:10
13,1.314611,1.319955,0.376430,03:10
14,1.310797,1.318289,0.376922,03:10
15,1.305632,1.317810,0.377173,03:10
16,1.302967,1.316423,0.377652,03:10
17,1.300386,1.316547,0.377615,03:10
18,1.299866,1.316126,0.377589,03:10
19,1.299029,1.315993,0.377598,03:10
