433347	13507
1.1.1.1	29
1.1.1.2	15
1.1.1.6	6
1.1.1.18	71
1.1.1.22	490
1.1.1.23	1101
1.1.1.25	63
1.1.1.27	1
1.1.1.30	58
1.1.1.36	201
1.1.1.37	2741
1.1.1.42	2632
1.1.1.44	215
1.1.1.49	250
1.1.1.53	21
1.1.1.60	33
1.1.1.81	177
1.1.1.83	132
1.1.1.85	1352
1.1.1.86	227
1.1.1.87	48
1.1.1.94	159
1.1.1.95	191
1.1.1.100	2191
1.1.1.103	25
1.1.1.107	23
1.1.1.108	531
1.1.1.127	31
1.1.1.130	1
1.1.1.132	41
1.1.1.133	30
1.1.1.136	506
1.1.1.157	44
1.1.1.159	4
1.1.1.169	1
1.1.1.175	18
1.1.1.184	7
1.1.1.192	4
1.1.1.203	8
1.1.1.205	2548
1.1.1.262	360
1.1.1.268	10
1.1.1.271	531
1.1.1.274	1
1.1.1.283	4
1.1.1.290	14
1.1.1.298	49
1.1.1.302	1
1.1.1.308	1671
1.1.1.310	38
1.1.1.311	42
1.1.1.313	14
1.1.1.325	2
1.1.1.333	2
1.1.1.335	18
1.1.1.336	138
1.1.1.338	125
1.1.1.340	1
1.1.1.343	11
1.1.1.370	1
1.1.1.373	1
1.1.2.7	19
1.1.2.8	173
1.1.3.15	334
1.1.5.6	13
1.1.98.3	14
1.1.99.28	8
1.2.1.n2	15
1.2.1.3	311
1.2.1.5	190
1.2.1.8	676
1.2.1.9	3
1.2.1.10	105
1.2.1.11	1187
1.2.1.12	1945
1.2.1.16	48
1.2.1.19	82
1.2.1.20	172
1.2.1.26	64
1.2.1.41	476
1.2.1.59	179
1.2.1.69	330
1.2.1.70	205
1.2.1.71	63
1.2.1.72	85
1.2.1.79	378
1.2.1.80	47
1.2.1.81	288
1.2.1.88	26
1.2.1.92	9
1.2.2.3	5
1.2.4.1	2521
1.2.4.4	219
1.2.7.3	214
1.2.7.4	34
1.2.99.2	166
1.3.1.1	11
1.3.1.n3	164
1.3.1.9	1005
1.3.1.14	50
1.3.1.28	1
1.3.1.31	50
1.3.1.34	446
1.3.1.44	6
1.3.1.56	2
1.3.1.84	134
1.3.1.86	3
1.3.1.91	473
1.3.1.98	106
1.3.1.104	8
1.3.3.3	686
1.3.3.4	2
1.3.5.1	2093
1.3.5.2	174
1.3.5.4	637
1.3.5.5	134
1.3.7.7	164
1.3.8.2	3
1.3.8.10	67
1.3.8.11	61
1.3.98.1	3
1.3.99.4	7
1.3.99.22	156
1.3.99.28	3
1.4.1.1	1376
1.4.1.2	587
1.4.1.3	135
1.4.1.4	1013
1.4.1.23	24
1.4.3.5	118
1.4.3.16	713
1.4.7.1	4141
1.4.99.1	273
1.4.99.5	3
1.5.1.2	28
1.5.1.3	30
1.5.1.20	118
1.5.1.21	5
1.5.1.38	2
1.5.1.42	9
1.5.1.43	7
1.5.1.49	126
1.6.1.2	4917
1.6.3.4	10
1.6.5.2	87
1.6.99.1	84
1.7.1.13	105
1.7.2.1	341
1.7.2.2	1
1.7.2.4	44
1.7.2.5	32
1.7.2.6	45
1.7.2.8	163
1.7.99.1	13
1.7.99.4	1986
1.8.1.2	165
1.8.1.4	1379
1.8.1.5	1
1.8.1.7	173
1.8.1.8	25
1.8.1.9	2578
1.8.1.15	16
1.8.1.19	189
1.8.2.2	4
1.8.4.11	255
1.8.4.12	229
1.8.4.13	21
1.8.4.14	15
1.8.5.3	23
1.8.5.4	7
1.8.99.2	1051
1.8.99.5	55
1.9.3.1	90
1.10.3.9	407
1.10.3.10	282
1.10.3.14	89
1.11.1.1	11
1.11.1.5	83
1.11.1.6	141
1.11.1.15	57
1.11.1.21	769
1.11.1.22	94
1.12.2.1	15
1.12.98.3	5
1.12.98.4	4
1.12.99.6	77
1.13.11.1	7
1.13.11.3	3
1.13.11.5	23
1.13.11.6	50
1.13.11.9	3
1.13.11.11	14
1.13.11.24	3
1.13.11.29	1
1.13.11.79	20
1.13.12.16	139
1.14.11.17	41
1.14.11.33	3
1.14.12.1	1
1.14.12.17	12
1.14.12.19	1
1.14.13.2	17
1.14.13.9	83
1.14.13.70	1
1.14.13.92	116
1.14.13.114	6
1.14.13.127	2
1.14.13.141	21
1.14.13.149	190
1.14.13.154	16
1.14.13.163	2
1.14.13.171	89
1.14.13.182	1
1.14.14.1	1
1.14.14.9	22
1.14.14.12	1
1.14.15.3	49
1.14.16.1	5
1.14.19.n4	6
1.14.21.7	1
1.14.99.3	36
1.14.99.15	2
1.14.99.46	71
1.15.1.1	308
1.15.1.2	3
1.16.3.1	42
1.16.3.2	1
1.17.1.2	620
1.17.1.8	394
1.17.1.9	7
1.17.1.10	468
1.17.2.1	38
1.17.4.1	1660
1.17.7.1	461
1.17.7.3	1221
1.17.99.6	2
1.18.1.1	33
1.18.1.2	119
1.18.1.3	4
1.18.6.1	3
1.20.4.1	13
1.21.98.1	30
1.21.99.5	1
1.97.1.12	320
2.1.1.10	2
2.1.1.13	4140
2.1.1.35	36
2.1.1.37	15
2.1.1.44	6
2.1.1.45	1148
2.1.1.61	14
2.1.1.63	74
2.1.1.72	167
2.1.1.74	106
2.1.1.77	285
2.1.1.79	12
2.1.1.80	67
2.1.1.133	101
2.1.1.156	84
2.1.1.161	44
2.1.1.163	3
2.1.1.166	34
2.1.1.170	26
2.1.1.171	67
2.1.1.173	7
2.1.1.174	2
