 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602770939.1542597]         [Thread #17]      Creating output directories...
[1602770939.157105]          [Thread #17]      Translating reads...
[1602770957.2712648]         [Thread #17]      Running DIAMOND...
[1602770963.4861722]         [Thread #17]      Converting DIAMOND...
[1602770963.588057]          [Thread #17]      Parsing DIAMOND...
[1602770963.7902353]         [Thread #17]      Annotating...
[1602770964.052715]          [Thread #17]      Analyzing...
[1602770964.5895042]         [Thread #17]      Create read mapping...
[1602770978.4577854]         [Thread #17]    - [Thread #17] finished
[1602770980.6092255]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602770980.609308]          [Thread #19]      Creating output directories...
[1602770980.6127384]         [Thread #19]      Translating reads...
[1602770999.7937896]         [Thread #19]      Running DIAMOND...
[1602771005.7999477]         [Thread #19]      Converting DIAMOND...
[1602771005.905179]          [Thread #19]      Parsing DIAMOND...
[1602771006.0896285]         [Thread #19]      Annotating...
[1602771006.3100452]         [Thread #19]      Analyzing...
[1602771006.459814]          [Thread #19]      Create read mapping...
[1602771021.431376]          [Thread #19]    - [Thread #19] finished
[1602771001.8348734]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602771001.834957]          [Thread #20]      Creating output directories...
[1602771001.8384197]         [Thread #20]      Translating reads...
[1602771021.3662722]         [Thread #20]      Running DIAMOND...
[1602771027.5192225]         [Thread #20]      Converting DIAMOND...
[1602771027.6178045]         [Thread #20]      Parsing DIAMOND...
[1602771027.766469]          [Thread #20]      Annotating...
[1602771027.878457]          [Thread #20]      Analyzing...
[1602771028.1683788]         [Thread #20]      Create read mapping...
[1602771041.394864]          [Thread #20]    - [Thread #20] finished
[1602771023.4714618]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602771023.4715436]         [Thread #21]      Creating output directories...
[1602771023.475616]          [Thread #21]      Translating reads...
[1602771041.7230787]         [Thread #21]      Running DIAMOND...
[1602771047.8269944]         [Thread #21]      Converting DIAMOND...
[1602771047.9489317]         [Thread #21]      Parsing DIAMOND...
[1602771048.0784214]         [Thread #21]      Annotating...
[1602771048.376174]          [Thread #21]      Analyzing...
[1602771048.5271301]         [Thread #21]      Create read mapping...
[1602771063.4618473]         [Thread #21]    - [Thread #21] finished
[1602771065.5634313]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
