ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,100,0.01,512,0.2532680630683899
1,1,2,1152,1.0,0.001,(0.98, 0.9),128,75,0.005,512,0.32952725887298584
1,1,2,1152,1.0,0.001,(0.98, 0.9),128,75,0.005,512,0.32952725887298584
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,100,0.01,512,0.2667617201805115
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,100,0.01,512,0.2667617201805115
1,1,4,576,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.25309497117996216
1,1,4,576,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.25309497117996216
1,1,2,576,1.0,0.1,(0.98, 0.9),104,125,0.01,1024,0.30796340107917786
1,1,2,576,1.0,0.1,(0.98, 0.9),104,125,0.01,1024,0.30796340107917786
1,1,2,576,1.0,0.1,(0.9, 0.8),104,75,0.002,1024,0.30728965997695923
1,1,2,576,1.0,0.1,(0.9, 0.8),104,75,0.002,1024,0.30728965997695923
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,75,0.01,512,0.3292873799800873
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,75,0.01,512,0.3292873799800873
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.002,512,0.2970229685306549
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.002,512,0.2970229685306549
1,1,4,576,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.29741063714027405
1,1,4,576,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.29741063714027405
1,1,3,1152,0.1,0.001,(0.98, 0.9),56,75,0.002,1024,0.2691516578197479
1,1,3,1152,0.1,0.001,(0.98, 0.9),56,75,0.002,1024,0.2691516578197479
1,1,3,1152,0.1,0.01,(0.9, 0.8),104,125,0.01,1024,0.25315091013908386
1,1,3,1152,0.1,0.01,(0.9, 0.8),104,125,0.01,1024,0.25315091013908386
1,1,4,576,1.0,0.001,(0.8, 0.7),56,125,0.002,1024,0.2585371136665344
1,1,4,576,1.0,0.001,(0.8, 0.7),56,125,0.002,1024,0.2585371136665344
1,1,4,1152,0.1,0.1,(0.8, 0.7),128,100,0.01,512,0.2531660199165344
1,1,4,1152,0.1,0.1,(0.8, 0.7),128,100,0.01,512,0.2531660199165344
1,1,3,576,1.0,0.01,(0.9, 0.8),56,125,0.01,512,0.2809780538082123
1,1,3,576,1.0,0.01,(0.9, 0.8),56,125,0.01,512,0.2809780538082123
1,1,3,576,0.1,0.001,(0.98, 0.9),56,75,0.01,1024,0.2631966173648834
1,1,3,576,0.1,0.001,(0.98, 0.9),56,75,0.01,1024,0.2631966173648834
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.25309595465660095
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.25309595465660095
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.002,1024,0.2951586842536926
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.002,1024,0.2951586842536926
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,75,0.002,512,0.3077569007873535
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,75,0.002,512,0.3077569007873535
1,1,4,1152,0.1,0.1,(0.8, 0.7),56,100,0.002,512,0.25340914726257324
1,1,4,1152,0.1,0.1,(0.8, 0.7),56,100,0.002,512,0.25340914726257324
1,1,4,576,1.0,0.01,(0.9, 0.8),128,125,0.005,1024,0.2994340658187866
1,1,4,576,1.0,0.01,(0.9, 0.8),128,125,0.005,1024,0.2994340658187866
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,100,0.002,1024,0.2915962040424347
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,100,0.002,1024,0.2915962040424347
1,1,4,576,0.1,0.1,(0.9, 0.8),128,100,0.01,1024,0.2531508803367615
1,1,4,576,0.1,0.1,(0.9, 0.8),128,100,0.01,1024,0.2531508803367615
1,1,4,1152,0.1,0.1,(0.8, 0.7),104,125,0.01,1024,0.25315091013908386
1,1,4,1152,0.1,0.1,(0.8, 0.7),104,125,0.01,1024,0.25315091013908386
1,1,3,1152,1.0,0.1,(0.98, 0.9),128,125,0.01,1024,0.0038364261854439974
1,1,3,1152,1.0,0.1,(0.98, 0.9),128,125,0.01,1024,0.0038364261854439974
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,125,0.01,512,0.325621098279953
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,125,0.01,512,0.325621098279953
1,1,2,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.3249551057815552
1,1,2,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.3249551057815552
1,1,2,576,1.0,0.001,(0.9, 0.8),128,125,0.005,512,0.3253813087940216
1,1,2,576,1.0,0.001,(0.9, 0.8),128,125,0.005,512,0.3253813087940216
1,1,2,1152,1.0,0.001,(0.8, 0.7),104,100,0.01,512,0.32804882526397705
1,1,2,1152,1.0,0.001,(0.8, 0.7),104,100,0.01,512,0.32804882526397705
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,75,0.002,1024,0.2767513394355774
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,75,0.002,1024,0.2767513394355774
1,1,4,576,1.0,0.1,(0.98, 0.9),104,125,0.01,512,0.25352734327316284
1,1,4,576,1.0,0.1,(0.98, 0.9),104,125,0.01,512,0.25352734327316284
1,1,4,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.25743067264556885
1,1,4,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.25743067264556885
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,75,0.005,512,0.25308844447135925
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,75,0.005,512,0.25308844447135925
