ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25263622403144836
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.34802693128585815
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.34802693128585815
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3480040729045868
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3480040729045868
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2663661241531372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2663661241531372
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.33019280433654785
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.33019280433654785
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2534611225128174
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2534611225128174
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3196859657764435
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3196859657764435
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2530505657196045
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2530505657196045
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.347012460231781
