 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602784912.8014584]         [Thread #11]      Creating output directories...
[1602784912.8036437]         [Thread #11]      Translating reads...
[1602784933.8784218]         [Thread #11]      Running DIAMOND...
[1602784939.5324616]         [Thread #11]      Converting DIAMOND...
[1602784939.6054547]         [Thread #11]      Parsing DIAMOND...
[1602784939.755528]          [Thread #11]      Annotating...
[1602784940.0897288]         [Thread #11]      Analyzing...
[1602784940.390051]          [Thread #11]      Create read mapping...
[1602784955.3773115]         [Thread #11]    - [Thread #11] finished
[1602784936.2329903]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602784936.2330859]         [Thread #12]      Creating output directories...
[1602784936.2352521]         [Thread #12]      Translating reads...
[1602784955.344323]          [Thread #12]      Running DIAMOND...
[1602784961.064029]          [Thread #12]      Converting DIAMOND...
[1602784961.1583319]         [Thread #12]      Parsing DIAMOND...
[1602784961.5814137]         [Thread #12]      Annotating...
[1602784961.8760786]         [Thread #12]      Analyzing...
[1602784962.13278]           [Thread #12]      Create read mapping...
[1602784976.7788184]         [Thread #12]    - [Thread #12] finished
[1602784957.6352687]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602784957.6353533]         [Thread #13]      Creating output directories...
[1602784957.637012]          [Thread #13]      Translating reads...
[1602784976.7450254]         [Thread #13]      Running DIAMOND...
[1602784982.5035765]         [Thread #13]      Converting DIAMOND...
[1602784982.5808554]         [Thread #13]      Parsing DIAMOND...
[1602784982.7349415]         [Thread #13]      Annotating...
[1602784983.0447006]         [Thread #13]      Analyzing...
[1602784983.224685]          [Thread #13]      Create read mapping...
[1602784998.9028685]         [Thread #13]    - [Thread #13] finished
[1602784978.9648306]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602784978.9649217]         [Thread #14]      Creating output directories...
[1602784978.9664745]         [Thread #14]      Translating reads...
[1602784999.0302072]         [Thread #14]      Running DIAMOND...
[1602785004.810328]          [Thread #14]      Converting DIAMOND...
[1602785004.9249368]         [Thread #14]      Parsing DIAMOND...
[1602785005.1336782]         [Thread #14]      Annotating...
[1602785005.3670444]         [Thread #14]      Analyzing...
[1602785005.7709394]         [Thread #14]      Create read mapping...
[1602785021.5406964]         [Thread #14]    - [Thread #14] finished
[1602785001.263624]          [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602785001.2637324]         [Thread #15]      Creating output directories...
[1602785001.2654564]         [Thread #15]      Translating reads...
[1602785021.814713]          [Thread #15]      Running DIAMOND...
[1602785027.5740297]         [Thread #15]      Converting DIAMOND...
[1602785027.689541]          [Thread #15]      Parsing DIAMOND...
[1602785027.8903503]         [Thread #15]      Annotating...
[1602785028.1901937]         [Thread #15]      Analyzing...
[1602785028.4796026]         [Thread #15]      Create read mapping...
[1602785040.4831676]         [Thread #15]    - [Thread #15] finished
[1602785023.968821]          [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602785023.9689062]         [Thread #16]      Creating output directories...
[1602785023.9704833]         [Thread #16]      Translating reads...
[1602785043.1786802]         [Thread #16]      Running DIAMOND...
[1602785048.8386421]         [Thread #16]      Converting DIAMOND...
[1602785048.9520144]         [Thread #16]      Parsing DIAMOND...
[1602785049.0913742]         [Thread #16]      Annotating...
[1602785049.4160664]         [Thread #16]      Analyzing...
[1602785049.7034457]         [Thread #16]      Create read mapping...
[1602785065.298604]          [Thread #16]    - [Thread #16] finished
[1602785045.350787]          [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602785045.350881]          [Thread #17]      Creating output directories...
[1602785045.353847]          [Thread #17]      Translating reads...
[1602785065.2701752]         [Thread #17]      Running DIAMOND...
[1602785070.9996264]         [Thread #17]      Converting DIAMOND...
[1602785071.1058543]         [Thread #17]      Parsing DIAMOND...
[1602785071.2306454]         [Thread #17]      Annotating...
[1602785071.3800712]         [Thread #17]      Analyzing...
[1602785071.655651]          [Thread #17]      Create read mapping...
[1602785086.7388127]         [Thread #17]    - [Thread #17] finished
[1602785067.5409849]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602785067.5410686]         [Thread #18]      Creating output directories...
[1602785067.5430233]         [Thread #18]      Translating reads...
[1602785086.6955595]         [Thread #18]      Running DIAMOND...
[1602785092.3536236]         [Thread #18]      Converting DIAMOND...
[1602785092.477015]          [Thread #18]      Parsing DIAMOND...
[1602785092.6203136]         [Thread #18]      Annotating...
[1602785092.9646215]         [Thread #18]      Analyzing...
[1602785093.275558]          [Thread #18]      Create read mapping...
[1602785106.9352698]         [Thread #18]    - [Thread #18] finished
[1602785088.9738917]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602785088.9739745]         [Thread #19]      Creating output directories...
[1602785088.9760778]         [Thread #19]      Translating reads...
[1602785108.600618]          [Thread #19]      Running DIAMOND...
[1602785114.3270268]         [Thread #19]      Converting DIAMOND...
[1602785114.4489682]         [Thread #19]      Parsing DIAMOND...
[1602785114.6013412]         [Thread #19]      Annotating...
[1602785114.8565903]         [Thread #19]      Analyzing...
[1602785115.1496515]         [Thread #19]      Create read mapping...
[1602785130.0995824]         [Thread #19]    - [Thread #19] finished
[1602785110.7608192]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602785110.7609062]         [Thread #20]      Creating output directories...
[1602785110.7631474]         [Thread #20]      Translating reads...
[1602785130.0544107]         [Thread #20]      Running DIAMOND...
[1602785135.752651]          [Thread #20]      Converting DIAMOND...
[1602785135.850574]          [Thread #20]      Parsing DIAMOND...
[1602785135.9676712]         [Thread #20]      Annotating...
[1602785136.1237733]         [Thread #20]      Analyzing...
[1602785136.3057375]         [Thread #20]      Create read mapping...
[1602785149.7421787]         [Thread #20]    - [Thread #20] finished
[1602785132.3861196]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602785132.386213]          [Thread #21]      Creating output directories...
[1602785132.3879318]         [Thread #21]      Translating reads...
[1602785152.8794036]         [Thread #21]      Running DIAMOND...
[1602785158.5289867]         [Thread #21]      Converting DIAMOND...
[1602785158.6168141]         [Thread #21]      Parsing DIAMOND...
[1602785158.9915874]         [Thread #21]      Annotating...
[1602785159.1603503]         [Thread #21]      Analyzing...
[1602785159.4499664]         [Thread #21]      Create read mapping...
[1602785175.2290044]         [Thread #21]    - [Thread #21] finished
[1602785155.0638053]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602785155.0639117]         [Thread #22]      Creating output directories...
[1602785155.066469]          [Thread #22]      Translating reads...
[1602785175.1491835]         [Thread #22]      Running DIAMOND...
[1602785180.7974265]         [Thread #22]      Converting DIAMOND...
[1602785180.8985353]         [Thread #22]      Parsing DIAMOND...
[1602785181.0358143]         [Thread #22]      Annotating...
[1602785181.1704078]         [Thread #22]      Analyzing...
[1602785181.491816]          [Thread #22]      Create read mapping...
[1602785194.977019]          [Thread #22]    - [Thread #22] finished
[1602785177.388677]          [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602785177.3887591]         [Thread #23]      Creating output directories...
[1602785177.3903484]         [Thread #23]      Translating reads...
[1602785196.855263]          [Thread #23]      Running DIAMOND...
[1602785202.5619411]         [Thread #23]      Converting DIAMOND...
[1602785202.661794]          [Thread #23]      Parsing DIAMOND...
[1602785202.832836]          [Thread #23]      Annotating...
[1602785203.1435158]         [Thread #23]      Analyzing...
[1602785203.4385667]         [Thread #23]      Create read mapping...
[1602785218.9260576]         [Thread #23]    - [Thread #23] finished
[1602785199.276355]          [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602785199.2764413]         [Thread #24]      Creating output directories...
[1602785199.2793615]         [Thread #24]      Translating reads...
[1602785218.9150093]         [Thread #24]      Running DIAMOND...
[1602785224.5866988]         [Thread #24]      Converting DIAMOND...
[1602785224.6840143]         [Thread #24]      Parsing DIAMOND...
[1602785224.8023877]         [Thread #24]      Annotating...
[1602785225.0380902]         [Thread #24]      Analyzing...
[1602785225.303297]          [Thread #24]      Create read mapping...
[1602785240.6992264]         [Thread #24]    - [Thread #24] finished
[1602785221.1364257]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602785221.13651]           [Thread #25]      Creating output directories...
[1602785221.138125]          [Thread #25]      Translating reads...
