,t-SNE1,t-SNE2,metaseek_env_package
163,-5.018914,8.973941,host-associated
164,-1.6786234,-4.426088,host-associated
165,4.3599844,-5.211608,host-associated
166,-1.7308539,1.5801169,host-associated
167,6.2160006,-4.718436,host-associated
168,-4.7193727,4.9506307,host-associated
169,-1.4212029,10.298227,host-associated
170,-0.85070246,7.150634,host-associated
171,-0.9606836,-0.47170976,host-associated
172,-4.9015727,-0.80201054,host-associated
173,5.0237865,-5.1294055,host-associated
174,-4.4126816,4.295281,host-associated
175,-3.8523757,8.269696,host-associated
176,-5.142768,-4.250417,host-associated
177,5.2036176,-4.8465247,host-associated
178,-1.3771267,9.947118,host-associated
179,-4.1375303,4.5314317,host-associated
180,1.4637097,1.3881731,host-associated
181,6.4891934,-6.339645,host-associated
182,-1.3212858,10.016977,host-associated
183,0.084951356,0.4019323,host-associated
184,-4.8329196,6.6285596,host-associated
185,7.040829,-2.8523505,host-associated
186,5.419868,-5.0847936,host-associated
187,-8.803745,-2.7516048,host-associated
188,-1.1694807,6.7941203,host-associated
189,6.935102,-5.776017,host-associated
190,-0.48978022,7.994615,host-associated
191,-2.722693,1.8685027,host-associated
192,-2.7146492,6.8056164,host-associated
193,-3.6310487,4.0997295,host-associated
194,-3.543272,7.6640587,host-associated
195,-4.893923,-5.543909,host-associated
196,-8.792038,-2.598759,host-associated
197,-2.669641,6.6709437,host-associated
198,-0.8447681,8.457148,host-associated
199,-0.6056791,8.826669,host-associated
200,-2.8711593,8.421289,host-associated
201,0.11885548,0.4273702,host-associated
202,-4.2464924,5.168137,host-associated
203,3.866198,-4.946407,host-associated
204,-2.8679254,-4.8262296,host-associated
205,-0.6397748,9.211115,host-associated
206,-1.8122737,1.8156452,host-associated
207,-4.2526274,2.1423957,host-associated
208,3.8116784,-0.11947825,host-associated
209,-4.032942,5.0039477,host-associated
210,-1.3673553,10.209224,host-associated
211,-1.5843087,-6.675082,host-associated
212,-5.9309487,-6.716722,host-associated
213,-2.4032695,-7.499496,host-associated
214,-3.9282415,7.7680836,host-associated
215,6.8699884,-5.963948,host-associated
216,-1.7497884,-8.661834,host-associated
217,-3.4207847,3.4849765,host-associated
218,-0.6798839,8.095137,host-associated
219,4.5174193,-5.182057,host-associated
220,-0.68204534,7.9915886,host-associated
221,-2.8071659,6.835591,host-associated
222,-4.804483,8.998243,host-associated
223,-2.779541,6.1639776,host-associated
224,9.141452,-1.8060449,host-associated
225,-1.6720506,-8.461519,host-associated
226,-1.3799306,10.05023,host-associated
227,-5.687306,-7.5182705,host-associated
228,-4.4182405,9.337629,host-associated
229,-0.6782351,8.999761,host-associated
230,-3.4233735,7.2206764,host-associated
231,-3.3605788,5.309357,host-associated
232,7.050836,-6.163998,host-associated
233,-1.5330108,10.4035845,host-associated
234,-0.76664,8.864958,host-associated
235,-8.812805,-2.6196973,host-associated
236,-5.6234636,-6.566427,host-associated
237,-7.4682293,-6.3805957,host-associated
238,-1.2599465,9.6580515,host-associated
239,-0.8379617,-5.883189,host-associated
240,-1.2189922,-7.22686,host-associated
241,-5.9660993,-5.328792,host-associated
242,1.0895624,2.015548,host-associated
243,-4.604428,5.05149,host-associated
244,-0.94771034,9.570903,host-associated
245,2.3637836,0.8944464,host-associated
246,-0.5806287,8.320979,host-associated
247,-7.7531943,-5.3663716,host-associated
248,-0.8694031,9.3126335,host-associated
249,-1.2531599,6.968903,host-associated
250,1.3763936,0.59950066,host-associated
251,-1.9133153,4.9399967,host-associated
252,-4.1993527,-6.1705136,host-associated
253,-4.3201346,4.972577,host-associated
254,-4.2668734,7.513847,host-associated
