ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",56,100,0.005,512,0.2525430917739868
1,1,2,1152,1.0,0.0001,"(0.8, 0.7)",104,150,0.01,1024,0.3311946392059326
1,1,3,1152,0.1,0.0001,"(0.8, 0.7)",128,125,0.005,1024,0.3276081383228302
1,1,4,576,1.0,0.01,"(0.98, 0.9)",104,125,0.002,1024,0.3058986067771912
1,1,2,576,0.1,0.01,"(0.98, 0.9)",104,125,0.002,512,0.3475765883922577
1,1,4,576,0.1,0.1,"(0.98, 0.9)",56,150,0.005,1024,0.3013298511505127
1,1,3,576,0.1,0.1,"(0.98, 0.9)",56,150,0.01,512,0.3477356433868408
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",56,100,0.002,1024,0.2524801790714264
1,1,3,576,1.0,0.01,"(0.9, 0.8)",56,125,0.01,1024,0.31659939885139465
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",56,125,0.005,512,0.2524023354053497
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",128,150,0.01,512,0.2524559795856476
1,1,4,576,0.1,0.01,"(0.98, 0.9)",104,150,0.005,512,0.2556935250759125
1,1,2,576,1.0,0.0001,"(0.9, 0.8)",104,100,0.005,1024,0.3437647521495819
1,1,3,1152,0.1,0.01,"(0.98, 0.9)",128,150,0.005,1024,0.2979182302951813
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",56,150,0.01,512,0.2524502277374268
1,1,3,576,1.0,0.1,"(0.98, 0.9)",56,150,0.01,1024,0.31653910875320435
1,1,2,576,1.0,0.01,"(0.9, 0.8)",104,125,0.01,1024,0.3450849950313568
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",128,150,0.01,512,0.2791091203689575
1,1,3,576,0.1,0.001,"(0.98, 0.9)",128,125,0.01,1024,0.2723086178302765
1,1,4,1152,0.1,0.001,"(0.98, 0.9)",128,100,0.005,512,0.2575037479400635
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",104,125,0.005,512,0.2545639276504517
1,1,2,1152,1.0,0.001,"(0.9, 0.8)",56,150,0.005,1024,0.002297247294336557
1,1,2,576,1.0,0.0001,"(0.8, 0.7)",104,150,0.005,512,0.3509359657764435
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",128,125,0.005,512,0.2523353695869446
1,1,2,576,0.1,0.0001,"(0.8, 0.7)",128,100,0.01,1024,0.3450358211994171
1,1,2,1152,0.1,0.01,"(0.8, 0.7)",104,100,0.002,512,0.35239431262016296
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",128,125,0.005,1024,0.2524018883705139
1,1,3,576,0.1,0.1,"(0.9, 0.8)",104,150,0.002,512,0.3374130427837372
1,1,3,1152,1.0,0.0001,"(0.9, 0.8)",56,150,0.002,512,0.002301277592778206
1,1,2,576,0.1,0.0001,"(0.8, 0.7)",56,125,0.002,1024,0.3289537727832794
1,1,4,1152,0.1,0.001,"(0.9, 0.8)",104,125,0.01,512,0.2524023354053497
1,1,4,576,0.1,0.001,"(0.9, 0.8)",128,150,0.005,1024,0.2524184584617615
1,1,3,576,0.1,0.001,"(0.9, 0.8)",104,100,0.005,1024,0.35093414783477783
1,1,4,576,0.1,0.001,"(0.8, 0.7)",104,150,0.002,512,0.3018417954444885
1,1,2,576,1.0,0.001,"(0.8, 0.7)",56,100,0.005,1024,0.33790767192840576
1,1,4,1152,1.0,0.001,"(0.98, 0.9)",104,125,0.005,512,0.0023059374652802944
1,1,3,1152,0.1,0.01,"(0.9, 0.8)",104,100,0.002,1024,0.3279365599155426
1,1,4,576,0.1,0.1,"(0.98, 0.9)",104,100,0.01,1024,0.3501632213592529
1,1,3,1152,1.0,0.0001,"(0.9, 0.8)",56,150,0.005,1024,0.2525451183319092
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",128,150,0.005,512,0.2525430917739868
