ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,0.1,0.1,"(0.8, 0.7)",56,100,0.002,512,0.3335050344467163
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",56,100,0.01,1024,0.2524915337562561
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",104,125,0.005,512,0.2524454891681671
1,1,3,576,1.0,0.01,"(0.8, 0.7)",104,150,0.002,1024,0.3136189877986908
1,1,3,576,0.1,0.01,"(0.98, 0.9)",128,100,0.002,1024,0.32265812158584595
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.005,1024,0.2524273693561554
1,1,3,1152,1.0,0.001,"(0.8, 0.7)",128,100,0.01,1024,0.2524912357330322
1,1,3,576,1.0,0.1,"(0.9, 0.8)",128,125,0.01,1024,0.3213590681552887
1,1,3,576,1.0,0.01,"(0.8, 0.7)",104,125,0.01,1024,0.32916373014450073
1,1,2,1152,0.1,0.001,"(0.8, 0.7)",104,100,0.01,1024,0.2525697350502014
1,1,3,1152,1.0,0.01,"(0.8, 0.7)",128,125,0.005,512,0.34901800751686096
1,1,2,1152,0.1,0.001,"(0.9, 0.8)",56,150,0.01,512,0.002301277592778206
1,1,2,576,0.1,0.01,"(0.98, 0.9)",128,125,0.005,512,0.3550850749015808
1,1,4,576,0.1,0.001,"(0.8, 0.7)",104,100,0.002,1024,0.2936403155326843
1,1,2,1152,1.0,0.1,"(0.8, 0.7)",128,100,0.005,512,0.356707364320755
1,1,3,576,0.1,0.1,"(0.9, 0.8)",128,125,0.005,1024,0.3243570625782013
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",104,125,0.01,1024,0.2524012327194214
1,1,3,1152,0.1,0.01,"(0.8, 0.7)",128,150,0.005,1024,0.2525451183319092
1,1,2,576,0.1,0.1,"(0.8, 0.7)",56,100,0.005,512,0.3542841672897339
1,1,3,576,0.1,0.0001,"(0.8, 0.7)",104,150,0.005,512,0.3215462565422058
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",128,100,0.005,512,0.252530038356781
1,1,2,1152,1.0,0.1,"(0.9, 0.8)",128,150,0.01,512,0.3554389178752899
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.005,512,0.3505148589611053
1,1,3,576,1.0,0.1,"(0.9, 0.8)",128,100,0.002,512,0.3512150049209595
1,1,4,576,0.1,0.01,"(0.8, 0.7)",128,125,0.01,512,0.25461384654045105
1,1,2,1152,1.0,0.001,"(0.9, 0.8)",56,125,0.01,1024,0.3289758265018463
1,1,4,576,1.0,0.001,"(0.8, 0.7)",56,150,0.002,512,0.3022425174713135
1,1,4,576,0.1,0.1,"(0.98, 0.9)",128,150,0.002,1024,0.3041964173316956
1,1,4,1152,1.0,0.001,"(0.98, 0.9)",104,150,0.002,1024,0.2838887572288513
1,1,2,576,1.0,0.01,"(0.8, 0.7)",128,100,0.01,1024,0.346686989068985
1,1,4,576,0.1,0.001,"(0.9, 0.8)",56,150,0.005,512,0.2544479966163635
1,1,2,576,0.1,0.01,"(0.9, 0.8)",104,100,0.005,1024,0.35121214389801025
1,1,3,576,0.1,0.001,"(0.9, 0.8)",104,150,0.005,512,0.3513027131557465
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",104,150,0.01,1024,0.002297247294336557
1,1,2,576,1.0,0.001,"(0.9, 0.8)",128,100,0.002,512,0.3500640094280243
1,1,2,576,1.0,0.1,"(0.8, 0.7)",128,150,0.005,512,0.3498067259788513
1,1,4,576,0.1,0.01,"(0.9, 0.8)",104,125,0.002,1024,0.25446581840515137
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",104,100,0.005,1024,0.2524912357330322
1,1,3,1152,0.1,0.001,"(0.9, 0.8)",56,150,0.01,512,0.252446711063385
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,100,0.01,1024,0.2524912357330322
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",128,125,0.01,1024,0.2525220513343811
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",56,100,0.01,1024,0.2525697350502014
1,1,2,1152,1.0,0.0001,"(0.9, 0.8)",56,125,0.005,1024,0.3316434919834137
1,1,2,1152,1.0,0.001,"(0.98, 0.9)",56,100,0.01,512,0.35372334718704224
1,1,2,1152,1.0,0.01,"(0.9, 0.8)",56,150,0.002,1024,0.3278072774410248
1,1,2,1152,0.1,0.001,"(0.98, 0.9)",56,100,0.01,1024,0.34108442068099976
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",56,125,0.01,512,0.2524023354053497
1,1,2,576,0.1,0.01,"(0.98, 0.9)",104,150,0.002,512,0.3429871201515198
1,1,2,576,1.0,0.001,"(0.9, 0.8)",56,125,0.005,1024,0.3289113938808441
1,1,4,576,0.1,0.01,"(0.9, 0.8)",128,150,0.005,512,0.252446711063385
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",128,125,0.01,1024,0.25312361121177673
1,1,2,576,0.1,0.01,"(0.9, 0.8)",104,125,0.005,1024,0.33479389548301697
1,1,4,576,0.1,0.001,"(0.9, 0.8)",128,100,0.005,512,0.2524480521678925
1,1,2,576,1.0,0.001,"(0.8, 0.7)",56,100,0.002,512,0.345869243144989
1,1,3,1152,1.0,0.01,"(0.8, 0.7)",128,150,0.005,1024,0.2525451183319092
1,1,4,1152,1.0,0.01,"(0.98, 0.9)",56,125,0.002,1024,0.3031126856803894
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",56,100,0.002,512,0.3103570342063904
1,1,2,576,0.1,0.0001,"(0.8, 0.7)",56,150,0.002,512,0.32934144139289856
1,1,2,1152,0.1,0.01,"(0.9, 0.8)",128,125,0.01,512,0.27486473321914673
1,1,4,576,1.0,0.01,"(0.8, 0.7)",104,100,0.005,512,0.25451314449310297
1,1,4,1152,0.1,0.01,"(0.98, 0.9)",104,125,0.01,1024,0.2524018883705139
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",56,125,0.002,1024,0.2523857653141022
1,1,2,1152,0.1,0.0001,"(0.8, 0.7)",104,150,0.01,512,0.3523565828800201
1,1,2,576,1.0,0.001,"(0.98, 0.9)",128,125,0.002,1024,0.3311037719249725
1,1,3,1152,0.1,0.01,"(0.98, 0.9)",104,100,0.01,512,0.30551210045814514
1,1,2,1152,0.1,0.01,"(0.98, 0.9)",104,125,0.005,1024,0.3384190797805786
1,1,3,576,0.1,0.001,"(0.98, 0.9)",56,100,0.005,1024,0.31621453166008
1,1,2,1152,0.1,0.001,"(0.98, 0.9)",56,100,0.01,1024,0.3331736624240875
1,1,2,576,0.1,0.001,"(0.8, 0.7)",56,150,0.002,1024,0.3075023293495178
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",128,150,0.01,512,0.2522892355918884
1,1,2,576,0.1,0.0001,"(0.98, 0.9)",104,100,0.005,512,0.35739508271217346
1,1,2,1152,1.0,0.01,"(0.8, 0.7)",104,150,0.005,512,0.35085925459861755
1,1,2,576,0.1,0.1,"(0.98, 0.9)",104,125,0.002,1024,0.3313268721103668
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",56,150,0.005,512,0.3428543508052826
1,1,4,576,0.1,0.001,"(0.9, 0.8)",128,125,0.002,1024,0.30537453293800354
1,1,3,576,1.0,0.01,"(0.98, 0.9)",128,100,0.005,1024,0.3455873429775238
1,1,4,1152,1.0,0.001,"(0.98, 0.9)",56,125,0.005,1024,0.2524018883705139
1,1,4,576,1.0,0.001,"(0.98, 0.9)",128,100,0.01,1024,0.002284850925207138
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",56,125,0.01,1024,0.2525182664394379
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",56,125,0.005,1024,0.0022996878251433372
1,1,2,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.01,1024,0.34247252345085144
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",56,100,0.002,512,0.34782907366752625
1,1,2,576,0.1,0.0001,"(0.9, 0.8)",56,150,0.002,1024,0.3091460466384888
1,1,3,576,1.0,0.001,"(0.9, 0.8)",128,125,0.01,512,0.33875420689582825
1,1,4,576,1.0,0.1,"(0.98, 0.9)",56,125,0.01,1024,0.2778630554676056
1,1,2,1152,0.1,0.1,"(0.9, 0.8)",128,150,0.002,512,0.3359063565731049
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,150,0.002,512,0.3413034677505493
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",128,100,0.01,512,0.3593601286411285
1,1,2,1152,1.0,0.01,"(0.8, 0.7)",104,125,0.005,512,0.35411429405212397
1,1,3,576,1.0,0.1,"(0.8, 0.7)",104,100,0.01,512,0.2525396943092346
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",104,100,0.01,1024,0.002284850925207138
1,1,2,1152,1.0,0.1,"(0.98, 0.9)",128,125,0.005,512,0.354699045419693
1,1,3,576,0.1,0.01,"(0.8, 0.7)",56,125,0.01,1024,0.0022996878251433372
1,1,4,1152,0.1,0.01,"(0.98, 0.9)",128,150,0.005,1024,0.2525556683540344
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",104,100,0.005,1024,0.25249898433685297
1,1,2,576,0.1,0.01,"(0.8, 0.7)",104,125,0.01,1024,0.33450940251350403
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,150,0.005,1024,0.330331414937973
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",104,125,0.002,1024,0.3239192068576813
1,1,2,1152,1.0,0.001,"(0.98, 0.9)",104,125,0.01,1024,0.3422772288322449
1,1,4,1152,1.0,0.01,"(0.8, 0.7)",56,100,0.005,512,0.2525205910205841
1,1,3,1152,0.1,0.0001,"(0.8, 0.7)",56,125,0.01,1024,0.2523995041847229
1,1,2,1152,1.0,0.0001,"(0.8, 0.7)",128,125,0.005,512,0.3515366315841675
1,1,2,576,1.0,0.01,"(0.8, 0.7)",128,125,0.005,1024,0.3355782628059387
1,1,2,1152,0.1,0.1,"(0.8, 0.7)",56,125,0.01,1024,0.3292242288589477
1,1,4,576,0.1,0.1,"(0.8, 0.7)",128,150,0.01,1024,0.2525567412376404
1,1,2,1152,0.1,0.0001,"(0.8, 0.7)",56,125,0.01,1024,0.29290783405303955
1,1,2,576,1.0,0.001,"(0.9, 0.8)",128,125,0.005,1024,0.3364478349685669
1,1,2,1152,0.1,0.1,"(0.9, 0.8)",56,125,0.002,512,0.3339426815509796
1,1,4,1152,0.1,0.0001,"(0.8, 0.7)",128,100,0.002,1024,0.2525582909584045
1,1,2,576,1.0,0.001,"(0.8, 0.7)",56,150,0.01,1024,0.32960474491119385
1,1,4,576,1.0,0.1,"(0.98, 0.9)",128,150,0.01,512,0.34087303280830383
1,1,3,576,0.1,0.1,"(0.9, 0.8)",104,100,0.002,512,0.3521484732627869
1,1,2,576,1.0,0.01,"(0.9, 0.8)",56,150,0.005,512,0.3447659611701965
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",128,150,0.002,512,0.34597766399383545
1,1,2,576,1.0,0.1,"(0.9, 0.8)",56,150,0.005,512,0.3431767225265503
1,1,3,1152,1.0,0.001,"(0.8, 0.7)",56,150,0.005,512,0.002301277592778206
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",128,125,0.01,512,0.2522845268249512
1,1,3,1152,0.1,0.01,"(0.9, 0.8)",56,125,0.005,512,0.2520799040794373
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",104,125,0.005,512,0.258127361536026
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,100,0.01,1024,0.35050565004348755
1,1,2,1152,1.0,0.01,"(0.8, 0.7)",104,150,0.005,1024,0.3322009742259979
1,1,4,576,1.0,0.1,"(0.8, 0.7)",56,125,0.002,512,0.30943813920021057
1,1,2,1152,1.0,0.1,"(0.8, 0.7)",104,125,0.005,512,0.2659483850002289
1,1,3,576,1.0,0.1,"(0.8, 0.7)",104,100,0.005,512,0.35265567898750305
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",128,100,0.005,512,0.32739874720573425
1,1,4,1152,1.0,0.01,"(0.98, 0.9)",56,100,0.01,1024,0.2524910867214203
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",56,100,0.005,512,0.2524087131023407
1,1,3,1152,1.0,0.001,"(0.9, 0.8)",104,125,0.01,1024,0.2959084510803223
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",56,150,0.005,512,0.2525429129600525
1,1,3,576,1.0,0.001,"(0.9, 0.8)",56,100,0.002,512,0.3444774150848389
1,1,4,576,1.0,0.01,"(0.98, 0.9)",56,150,0.002,1024,0.3018446564674377
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",56,150,0.002,1024,0.2959892749786377
1,1,4,1152,0.1,0.01,"(0.98, 0.9)",104,125,0.005,1024,0.25657767057418823
1,1,2,576,1.0,0.0001,"(0.98, 0.9)",56,150,0.002,1024,0.30971941351890564
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",128,150,0.002,1024,0.3035872280597687
1,1,2,576,0.1,0.01,"(0.98, 0.9)",128,100,0.01,512,0.35874658823013306
1,1,2,1152,0.1,0.1,"(0.8, 0.7)",128,125,0.01,1024,0.3424915969371796
1,1,4,1152,0.1,0.0001,"(0.8, 0.7)",128,125,0.005,1024,0.2524024844169617
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",56,100,0.002,512,0.34152314066886896
1,1,3,1152,1.0,0.001,"(0.8, 0.7)",128,100,0.005,1024,0.002284850925207138
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",128,100,0.002,512,0.3535984754562378
1,1,3,576,1.0,0.0001,"(0.8, 0.7)",56,100,0.005,512,0.35027313232421875
1,1,2,576,1.0,0.001,"(0.8, 0.7)",104,125,0.002,512,0.3458491861820221
1,1,4,576,0.1,0.1,"(0.9, 0.8)",104,100,0.005,1024,0.25450608134269714
1,1,4,1152,1.0,0.001,"(0.8, 0.7)",128,150,0.01,1024,0.2525451183319092
1,1,2,1152,0.1,0.1,"(0.9, 0.8)",56,100,0.005,512,0.3554915487766266
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",104,125,0.01,512,0.2523877024650574
1,1,3,576,1.0,0.01,"(0.8, 0.7)",104,150,0.005,512,0.3358286321163177
1,1,2,576,0.1,0.01,"(0.98, 0.9)",128,125,0.01,1024,0.3455159664154053
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",104,125,0.002,1024,0.3069777190685272
1,1,3,1152,0.1,0.001,"(0.98, 0.9)",56,150,0.002,512,0.25219279527664185
1,1,2,576,0.1,0.001,"(0.98, 0.9)",104,125,0.01,1024,0.33449143171310425
1,1,3,576,1.0,0.01,"(0.98, 0.9)",104,150,0.002,1024,0.3091522753238678
1,1,4,576,0.1,0.01,"(0.98, 0.9)",104,125,0.005,512,0.35116684436798096
1,1,4,1152,0.1,0.1,"(0.9, 0.8)",56,150,0.005,1024,0.24801962077617645
1,1,3,1152,0.1,0.01,"(0.8, 0.7)",128,125,0.005,512,0.30860280990600586
1,1,4,576,0.1,0.1,"(0.98, 0.9)",104,150,0.01,512,0.002301277592778206
1,1,2,1152,0.1,0.001,"(0.98, 0.9)",128,150,0.002,512,0.3458625078201294
1,1,3,576,1.0,0.1,"(0.8, 0.7)",104,100,0.002,512,0.3462989032268524
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",104,100,0.01,1024,0.25152355432510376
1,1,3,1152,1.0,0.01,"(0.9, 0.8)",104,100,0.01,512,0.25244638323783875
1,1,2,1152,0.1,0.01,"(0.8, 0.7)",56,150,0.002,512,0.33324822783470154
1,1,4,576,1.0,0.0001,"(0.98, 0.9)",128,150,0.005,1024,0.2525441944599152
1,1,2,576,1.0,0.001,"(0.9, 0.8)",104,125,0.005,1024,0.3354499936103821
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.005,512,0.35167038440704346
1,1,2,576,1.0,0.01,"(0.98, 0.9)",56,150,0.002,1024,0.3102950751781464
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",104,125,0.01,1024,0.3467676639556885
1,1,2,1152,0.1,0.0001,"(0.8, 0.7)",56,150,0.005,1024,0.33120229840278625
1,1,3,576,1.0,0.01,"(0.9, 0.8)",104,150,0.005,512,0.3498307466506958
1,1,3,576,1.0,0.1,"(0.9, 0.8)",104,150,0.01,512,0.2528514266014099
1,1,3,1152,0.1,0.0001,"(0.8, 0.7)",56,125,0.01,1024,0.2525189220905304
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",56,125,0.002,1024,0.25313910841941833
1,1,3,576,1.0,0.1,"(0.9, 0.8)",104,150,0.002,512,0.32780569791793823
1,1,3,576,1.0,0.1,"(0.98, 0.9)",104,150,0.005,512,0.3462380170822144
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",128,100,0.002,512,0.35691574215888977
1,1,4,1152,0.1,0.01,"(0.8, 0.7)",104,125,0.005,1024,0.2524056136608124
1,1,2,576,0.1,0.001,"(0.8, 0.7)",56,150,0.01,1024,0.3321821987628937
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",104,125,0.002,512,0.34881001710891724
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",128,100,0.005,1024,0.2524912357330322
1,1,3,1152,1.0,0.0001,"(0.98, 0.9)",104,150,0.01,1024,0.3168973028659821
1,1,2,576,1.0,0.001,"(0.8, 0.7)",128,125,0.002,512,0.34351998567581177
1,1,4,576,0.1,0.1,"(0.8, 0.7)",56,150,0.01,512,0.252446711063385
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",56,125,0.005,1024,0.3374907672405243
1,1,3,576,0.1,0.1,"(0.8, 0.7)",104,150,0.01,1024,0.25251999497413635
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",128,125,0.005,1024,0.3252793848514557
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",104,125,0.005,1024,0.2524018883705139
1,1,3,576,0.1,0.01,"(0.98, 0.9)",104,150,0.005,1024,0.3081846833229065
1,1,2,1152,1.0,0.0001,"(0.98, 0.9)",104,100,0.002,1024,0.3331499099731445
1,1,2,1152,0.1,0.1,"(0.98, 0.9)",56,150,0.01,512,0.24501605331897736
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",128,150,0.005,1024,0.2527971863746643
1,1,3,576,1.0,0.01,"(0.98, 0.9)",128,125,0.01,1024,0.3249304592609405
1,1,4,1152,1.0,0.01,"(0.8, 0.7)",104,150,0.01,1024,0.2524716556072235
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",104,125,0.002,1024,0.3135077953338623
1,1,4,576,0.1,0.1,"(0.9, 0.8)",56,150,0.002,512,0.3095035254955292
1,1,4,576,0.1,0.0001,"(0.98, 0.9)",104,150,0.005,512,0.2545270323753357
1,1,2,1152,0.1,0.0001,"(0.8, 0.7)",56,150,0.002,512,0.3363603949546814
1,1,3,1152,0.1,0.0001,"(0.9, 0.8)",56,125,0.002,1024,0.3111179769039154
1,1,2,576,0.1,0.01,"(0.98, 0.9)",128,125,0.005,512,0.3556073307991028
1,1,3,576,1.0,0.01,"(0.8, 0.7)",128,100,0.005,1024,0.31960567831993103
1,1,2,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.005,512,0.3527160882949829
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",104,125,0.002,512,0.3417589068412781
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",128,150,0.01,1024,0.3310285210609436
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",104,100,0.002,512,0.35195407271385193
1,1,3,576,1.0,0.1,"(0.8, 0.7)",128,125,0.005,512,0.3540780544281006
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",128,125,0.002,512,0.3514837324619293
1,1,3,1152,0.1,0.0001,"(0.9, 0.8)",56,125,0.01,512,0.2938207983970642
1,1,2,1152,0.1,0.01,"(0.9, 0.8)",56,125,0.01,512,0.35151657462120056
1,1,4,1152,0.1,0.1,"(0.98, 0.9)",56,100,0.01,512,0.2524450719356537
1,1,2,1152,0.1,0.1,"(0.8, 0.7)",56,125,0.005,512,0.3488603234291077
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",128,100,0.01,512,0.3601435422897339
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,100,0.002,512,0.349575936794281
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",56,125,0.005,1024,0.25241911411285395
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",56,100,0.01,1024,0.2872909605503082
1,1,3,576,1.0,0.1,"(0.98, 0.9)",128,150,0.01,1024,0.3000783324241638
1,1,4,1152,0.1,0.01,"(0.98, 0.9)",56,125,0.002,512,0.3365263640880585
1,1,2,576,0.1,0.001,"(0.9, 0.8)",104,100,0.002,512,0.3524385988712311
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",56,150,0.002,512,0.3199925720691681
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",128,125,0.005,512,0.35885950922966003
1,1,4,1152,0.1,0.1,"(0.9, 0.8)",104,150,0.002,1024,0.2735985517501831
1,1,2,1152,0.1,0.01,"(0.8, 0.7)",128,125,0.005,1024,0.34491658210754395
1,1,2,576,0.1,0.001,"(0.8, 0.7)",128,100,0.005,1024,0.33449938893318176
1,1,3,1152,0.1,0.1,"(0.9, 0.8)",56,150,0.01,1024,0.002297247294336557
1,1,4,576,1.0,0.001,"(0.98, 0.9)",56,100,0.005,1024,0.32348141074180603
1,1,3,1152,1.0,0.0001,"(0.98, 0.9)",56,150,0.005,1024,0.3409798443317413
1,1,3,1152,1.0,0.1,"(0.98, 0.9)",56,125,0.002,512,0.3430995941162109
1,1,2,1152,1.0,0.1,"(0.98, 0.9)",128,125,0.002,1024,0.3319484293460846
1,1,3,1152,0.1,0.001,"(0.9, 0.8)",104,125,0.002,512,0.35299816727638245
1,1,3,576,0.1,0.1,"(0.8, 0.7)",56,150,0.005,1024,0.31674104928970337
1,1,4,1152,1.0,0.001,"(0.98, 0.9)",128,100,0.005,1024,0.2527326941490173
1,1,2,576,1.0,0.01,"(0.9, 0.8)",104,100,0.005,512,0.35560718178749084
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",56,150,0.002,1024,0.30811458826065063
1,1,4,1152,0.1,0.0001,"(0.9, 0.8)",128,100,0.005,1024,0.25257018208503723
1,1,3,576,0.1,0.0001,"(0.9, 0.8)",128,150,0.005,1024,0.2525403201580048
1,1,3,1152,1.0,0.1,"(0.98, 0.9)",128,100,0.002,1024,0.3334864974021912
1,1,4,576,1.0,0.01,"(0.98, 0.9)",104,150,0.005,512,0.26470863819122314
1,1,4,576,0.1,0.001,"(0.8, 0.7)",104,100,0.005,512,0.25548878312110895
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",128,125,0.002,1024,0.3294317126274109
1,1,2,576,1.0,0.01,"(0.8, 0.7)",104,125,0.005,512,0.3522236943244934
1,1,4,576,1.0,0.01,"(0.9, 0.8)",104,100,0.01,512,0.2524503767490387
1,1,4,1152,0.1,0.01,"(0.9, 0.8)",104,125,0.01,1024,0.2525182664394379
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",128,150,0.01,512,0.3456963300704956
1,1,2,1152,1.0,0.1,"(0.8, 0.7)",56,100,0.01,512,0.3540502488613129
1,1,4,576,1.0,0.0001,"(0.9, 0.8)",56,150,0.005,1024,0.2524184584617615
1,1,4,576,0.1,0.1,"(0.8, 0.7)",128,100,0.002,512,0.300821989774704
1,1,2,576,1.0,0.01,"(0.8, 0.7)",56,150,0.002,512,0.3283920586109161
1,1,4,1152,0.1,0.01,"(0.8, 0.7)",104,150,0.005,1024,0.25244078040122986
1,1,3,576,0.1,0.1,"(0.8, 0.7)",104,100,0.002,512,0.3515565395355225
1,1,4,576,0.1,0.1,"(0.8, 0.7)",128,125,0.002,1024,0.3028222024440765
1,1,3,576,0.1,0.0001,"(0.8, 0.7)",104,100,0.002,1024,0.3210202157497406
1,1,2,576,0.1,0.001,"(0.8, 0.7)",104,150,0.002,512,0.3447039127349853
1,1,4,1152,0.1,0.01,"(0.9, 0.8)",56,150,0.005,512,0.2524031698703766
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",128,125,0.005,1024,0.25240108370780945
1,1,2,1152,1.0,0.0001,"(0.9, 0.8)",128,100,0.01,512,0.35848677158355713
1,1,2,576,0.1,0.01,"(0.98, 0.9)",56,125,0.01,512,0.3463544547557831
1,1,3,576,0.1,0.01,"(0.9, 0.8)",56,100,0.002,512,0.3481878638267517
1,1,4,576,0.1,0.0001,"(0.8, 0.7)",128,125,0.01,1024,0.2525182664394379
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",104,125,0.01,512,0.2511322200298309
1,1,2,1152,0.1,0.0001,"(0.9, 0.8)",128,100,0.01,1024,0.3505974113941193
1,1,3,1152,1.0,0.0001,"(0.9, 0.8)",56,150,0.002,1024,0.2524184584617615
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.01,1024,0.2525697350502014
1,1,3,1152,1.0,0.0001,"(0.9, 0.8)",104,150,0.002,512,0.3342010676860809
1,1,4,576,0.1,0.1,"(0.9, 0.8)",128,150,0.005,1024,0.2524179816246033
1,1,3,1152,0.1,0.001,"(0.8, 0.7)",104,150,0.01,1024,0.002297247294336557
1,1,3,576,1.0,0.001,"(0.9, 0.8)",56,125,0.005,1024,0.3144204616546631
1,1,2,1152,1.0,0.0001,"(0.98, 0.9)",104,150,0.002,1024,0.3300910294055939
1,1,2,576,1.0,0.001,"(0.9, 0.8)",104,150,0.005,512,0.35004523396492004
1,1,4,1152,0.1,0.1,"(0.9, 0.8)",56,150,0.002,1024,0.25254884362220764
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",128,100,0.01,1024,0.2524912357330322
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",56,100,0.002,512,0.35122379660606384
1,1,2,576,1.0,0.01,"(0.98, 0.9)",56,150,0.01,512,0.3492497503757477
1,1,4,1152,0.1,0.0001,"(0.8, 0.7)",128,125,0.01,512,0.0023059374652802944
1,1,4,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.01,1024,0.2526026964187622
1,1,4,1152,1.0,0.1,"(0.8, 0.7)",128,125,0.005,512,0.2524024844169617
1,1,2,1152,1.0,0.0001,"(0.8, 0.7)",128,125,0.005,1024,0.0022996878251433372
1,1,3,576,1.0,0.01,"(0.9, 0.8)",56,125,0.01,512,0.35012909770011896
1,1,4,576,0.1,0.0001,"(0.9, 0.8)",56,100,0.002,1024,0.3031182885169983
1,1,3,1152,0.1,0.1,"(0.8, 0.7)",104,125,0.005,512,0.33567413687705994
1,1,4,1152,0.1,0.0001,"(0.8, 0.7)",104,100,0.002,1024,0.2869371175765991
1,1,3,1152,1.0,0.001,"(0.98, 0.9)",104,150,0.005,1024,0.2524184584617615
1,1,4,1152,1.0,0.01,"(0.9, 0.8)",128,125,0.01,512,0.2524021863937378
1,1,2,576,0.1,0.01,"(0.98, 0.9)",104,125,0.002,1024,0.33091795444488525
1,1,4,576,1.0,0.001,"(0.9, 0.8)",104,125,0.005,1024,0.3031262755393982
1,1,4,1152,1.0,0.01,"(0.98, 0.9)",128,100,0.005,1024,0.2524912357330322
1,1,4,576,1.0,0.01,"(0.9, 0.8)",56,150,0.01,512,0.2525430917739868
1,1,2,576,1.0,0.1,"(0.98, 0.9)",104,125,0.002,512,0.33620017766952515
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",56,125,0.01,1024,0.2525146901607513
1,1,4,576,1.0,0.1,"(0.98, 0.9)",128,100,0.002,1024,0.30355897545814514
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",128,125,0.005,512,0.2540740668773651
