 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775274.5235615]         [Thread #13]      Converting DIAMOND...
[1602775274.6400964]         [Thread #13]      Parsing DIAMOND...
[1602775274.760393]          [Thread #13]      Annotating...
[1602775275.1257734]         [Thread #13]      Analyzing...
[1602775275.4486284]         [Thread #13]      Create read mapping...
[1602775291.1600034]         [Thread #13]    - [Thread #13] finished
[1602775270.8538563]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602775270.8539033]         [Thread #14]      Creating output directories...
[1602775270.855493]          [Thread #14]      Translating reads...
[1602775291.1086848]         [Thread #14]      Running DIAMOND...
[1602775296.9637856]         [Thread #14]      Converting DIAMOND...
[1602775297.0765624]         [Thread #14]      Parsing DIAMOND...
[1602775297.2879097]         [Thread #14]      Annotating...
[1602775297.421743]          [Thread #14]      Analyzing...
[1602775297.721286]          [Thread #14]      Create read mapping...
[1602775312.070431]          [Thread #14]    - [Thread #14] finished
[1602775293.222404]          [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602775293.2224867]         [Thread #15]      Creating output directories...
[1602775293.2243378]         [Thread #15]      Translating reads...
[1602775312.0124424]         [Thread #15]      Running DIAMOND...
[1602775317.8632653]         [Thread #15]      Converting DIAMOND...
[1602775317.9731233]         [Thread #15]      Parsing DIAMOND...
[1602775318.3096917]         [Thread #15]      Annotating...
[1602775318.60681]           [Thread #15]      Analyzing...
[1602775318.9281647]         [Thread #15]      Create read mapping...
[1602775333.4908068]         [Thread #15]    - [Thread #15] finished
[1602775314.2264707]         [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602775314.2265513]         [Thread #16]      Creating output directories...
[1602775314.2282977]         [Thread #16]      Translating reads...
[1602775333.4355118]         [Thread #16]      Running DIAMOND...
[1602775339.3837612]         [Thread #16]      Converting DIAMOND...
[1602775339.5053668]         [Thread #16]      Parsing DIAMOND...
[1602775339.7187512]         [Thread #16]      Annotating...
[1602775340.0020924]         [Thread #16]      Analyzing...
[1602775340.304026]          [Thread #16]      Create read mapping...
[1602775355.2718806]         [Thread #16]    - [Thread #16] finished
[1602775335.6741803]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602775335.6742613]         [Thread #17]      Creating output directories...
[1602775335.6758761]         [Thread #17]      Translating reads...
[1602775355.2583592]         [Thread #17]      Running DIAMOND...
[1602775361.249115]          [Thread #17]      Converting DIAMOND...
[1602775361.3857203]         [Thread #17]      Parsing DIAMOND...
[1602775361.5584776]         [Thread #17]      Annotating...
[1602775361.831013]          [Thread #17]      Analyzing...
[1602775361.9474778]         [Thread #17]      Create read mapping...
[1602775377.2480366]         [Thread #17]    - [Thread #17] finished
[1602775357.2844114]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602775357.2844918]         [Thread #18]      Creating output directories...
[1602775357.2860768]         [Thread #18]      Translating reads...
[1602775377.2287917]         [Thread #18]      Running DIAMOND...
[1602775383.1217759]         [Thread #18]      Converting DIAMOND...
[1602775383.2272253]         [Thread #18]      Parsing DIAMOND...
[1602775383.4415042]         [Thread #18]      Annotating...
[1602775383.6950316]         [Thread #18]      Analyzing...
[1602775383.81181]           [Thread #18]      Create read mapping...
[1602775398.0444036]         [Thread #18]    - [Thread #18] finished
[1602775379.2516475]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602775379.2517676]         [Thread #19]      Creating output directories...
[1602775379.2542775]         [Thread #19]      Translating reads...
[1602775397.9903157]         [Thread #19]      Running DIAMOND...
[1602775403.9160235]         [Thread #19]      Converting DIAMOND...
[1602775404.0327377]         [Thread #19]      Parsing DIAMOND...
[1602775404.274651]          [Thread #19]      Annotating...
[1602775404.4087327]         [Thread #19]      Analyzing...
[1602775404.7154636]         [Thread #19]      Create read mapping...
[1602775419.3051581]         [Thread #19]    - [Thread #19] finished
[1602775400.2181568]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602775400.2182372]         [Thread #20]      Creating output directories...
[1602775400.2207222]         [Thread #20]      Translating reads...
[1602775419.2573195]         [Thread #20]      Running DIAMOND...
[1602775425.0824816]         [Thread #20]      Converting DIAMOND...
[1602775425.1953628]         [Thread #20]      Parsing DIAMOND...
[1602775425.3810127]         [Thread #20]      Annotating...
[1602775425.5908792]         [Thread #20]      Analyzing...
[1602775425.6024518]         [Thread #20]      Create read mapping...
[1602775440.1684768]         [Thread #20]    - [Thread #20] finished
[1602775421.457449]          [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602775421.4575307]         [Thread #21]      Creating output directories...
[1602775421.459173]          [Thread #21]      Translating reads...
[1602775440.1324205]         [Thread #21]      Running DIAMOND...
[1602775445.9773738]         [Thread #21]      Converting DIAMOND...
[1602775446.1122885]         [Thread #21]      Parsing DIAMOND...
[1602775446.320694]          [Thread #21]      Annotating...
[1602775446.7148433]         [Thread #21]      Analyzing...
[1602775446.935983]          [Thread #21]      Create read mapping...
[1602775462.7853017]         [Thread #21]    - [Thread #21] finished
[1602775442.316875]          [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602775442.3169587]         [Thread #22]      Creating output directories...
[1602775442.3182693]         [Thread #22]      Translating reads...
[1602775462.7537854]         [Thread #22]      Running DIAMOND...
[1602775469.0244353]         [Thread #22]      Converting DIAMOND...
[1602775469.1314344]         [Thread #22]      Parsing DIAMOND...
[1602775469.2500927]         [Thread #22]      Annotating...
[1602775469.381996]          [Thread #22]      Analyzing...
[1602775469.562745]          [Thread #22]      Create read mapping...
[1602775484.8318434]         [Thread #22]    - [Thread #22] finished
[1602775464.8714428]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602775464.8715246]         [Thread #23]      Creating output directories...
[1602775464.8733437]         [Thread #23]      Translating reads...
[1602775484.7446318]         [Thread #23]      Running DIAMOND...
[1602775490.59942]           [Thread #23]      Converting DIAMOND...
[1602775490.7133296]         [Thread #23]      Parsing DIAMOND...
[1602775491.4111662]         [Thread #23]      Annotating...
[1602775491.5413382]         [Thread #23]      Analyzing...
[1602775491.8312495]         [Thread #23]      Create read mapping...
[1602775506.6564455]         [Thread #23]    - [Thread #23] finished
[1602775486.8575716]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
