ERR599063.sra.9350004/1PHOSPHORE:0133:0:1:1303:3286:78261length=98	6.2.1.1
ERR599063.sra.9350006/1PHOSPHORE:0133:0:1:1303:3252:78382length=100	1.11.1.21
ERR599063.sra.9350034/2PHOSPHORE:0133:0:1:1303:4805:78438length=101	1.6.1.2
ERR599063.sra.9350041/2PHOSPHORE:0133:0:1:1303:5042:78484length=101	2.7.7.6
ERR599063.sra.9350072/1PHOSPHORE:0133:0:1:1303:6151:78386length=101	3.4.21.107
ERR599063.sra.9350111/1PHOSPHORE:0133:0:1:1303:7643:78424length=101	3.6.3.14
ERR599063.sra.9350116/2PHOSPHORE:0133:0:1:1303:7755:78376length=101	6.2.1.1
ERR599063.sra.9350167/1PHOSPHORE:0133:0:1:1303:9301:78330length=101	1.8.1.4
ERR599063.sra.9350240/2PHOSPHORE:0133:0:1:1303:12361:78296length=101	2.7.7.6
ERR599063.sra.9350257/1PHOSPHORE:0133:0:1:1303:12793:78445length=101	3.6.3.19
ERR599063.sra.9350278/1PHOSPHORE:0133:0:1:1303:14107:78317length=101	6.2.1.1
ERR599063.sra.9350278/2PHOSPHORE:0133:0:1:1303:14107:78317length=101	6.2.1.1
ERR599063.sra.9350307/1PHOSPHORE:0133:0:1:1303:15406:78266length=101	6.1.1.12	6.1.1.23
ERR599063.sra.9350307/2PHOSPHORE:0133:0:1:1303:15406:78266length=101	6.1.1.12	6.1.1.23
ERR599063.sra.9350374/2PHOSPHORE:0133:0:1:1303:18502:78417length=101	2.3.1.207
ERR599063.sra.9350389/2PHOSPHORE:0133:0:1:1303:19313:78421length=101	2.7.7.6
ERR599063.sra.9350407/1PHOSPHORE:0133:0:1:1303:19766:78314length=101	2.7.7.7
ERR599063.sra.9350407/2PHOSPHORE:0133:0:1:1303:19766:78314length=101	2.7.7.7
ERR599063.sra.9350412/1PHOSPHORE:0133:0:1:1303:20184:78262length=101	4.2.1.11
ERR599063.sra.9350412/2PHOSPHORE:0133:0:1:1303:20184:78262length=101	4.2.1.11
ERR599063.sra.9350454/1PHOSPHORE:0133:0:1:1303:1641:78652length=101	1.17.1.2
ERR599063.sra.9350480/1PHOSPHORE:0133:0:1:1303:2404:78676length=99	5.4.99.21
ERR599063.sra.9350480/2PHOSPHORE:0133:0:1:1303:2404:78676length=101	5.4.99.21
