 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775398.3108816]         [Thread #11]      Creating output directories...
[1602775399.1544924]         [Thread #11]      Translating reads...
[1602775419.3388522]         [Thread #11]      Running DIAMOND...
[1602775425.0615556]         [Thread #11]      Converting DIAMOND...
[1602775425.1962068]         [Thread #11]      Parsing DIAMOND...
[1602775425.4636512]         [Thread #11]      Annotating...
[1602775425.8519838]         [Thread #11]      Analyzing...
[1602775426.1040711]         [Thread #11]      Create read mapping...
[1602775441.9498081]         [Thread #11]    - [Thread #11] finished
[1602775420.7567458]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602775420.7568254]         [Thread #12]      Creating output directories...
[1602775421.844401]          [Thread #12]      Translating reads...
[1602775441.9113455]         [Thread #12]      Running DIAMOND...
[1602775447.563401]          [Thread #12]      Converting DIAMOND...
[1602775447.7066987]         [Thread #12]      Parsing DIAMOND...
[1602775447.921521]          [Thread #12]      Annotating...
[1602775448.188134]          [Thread #12]      Analyzing...
[1602775448.3037882]         [Thread #12]      Create read mapping...
[1602775463.6767294]         [Thread #12]    - [Thread #12] finished
[1602775443.1409318]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602775443.1410136]         [Thread #13]      Creating output directories...
[1602775444.045866]          [Thread #13]      Translating reads...
[1602775464.959136]          [Thread #13]      Running DIAMOND...
[1602775470.694613]          [Thread #13]      Converting DIAMOND...
[1602775470.8251348]         [Thread #13]      Parsing DIAMOND...
[1602775471.0115986]         [Thread #13]      Annotating...
[1602775471.2265348]         [Thread #13]      Analyzing...
[1602775471.311265]          [Thread #13]      Create read mapping...
[1602775481.0759344]         [Thread #13]    - [Thread #13] finished
[1602775466.3405774]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602775466.3406672]         [Thread #14]      Creating output directories...
[1602775467.2666314]         [Thread #14]      Translating reads...
[1602775486.2624714]         [Thread #14]      Running DIAMOND...
[1602775491.9453893]         [Thread #14]      Converting DIAMOND...
[1602775492.0579157]         [Thread #14]      Parsing DIAMOND...
[1602775492.3301]            [Thread #14]      Annotating...
[1602775492.6971762]         [Thread #14]      Analyzing...
[1602775493.1114807]         [Thread #14]      Create read mapping...
[1602775507.8778977]         [Thread #14]    - [Thread #14] finished
[1602775487.6140149]         [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602775487.6141238]         [Thread #15]      Creating output directories...
[1602775488.5130916]         [Thread #15]      Translating reads...
[1602775507.6858256]         [Thread #15]      Running DIAMOND...
[1602775513.340977]          [Thread #15]      Converting DIAMOND...
[1602775513.4841697]         [Thread #15]      Parsing DIAMOND...
[1602775513.646669]          [Thread #15]      Annotating...
[1602775513.8369305]         [Thread #15]      Analyzing...
[1602775514.054171]          [Thread #15]      Create read mapping...
[1602775529.5782075]         [Thread #15]    - [Thread #15] finished
[1602775509.2058828]         [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602775509.2059677]         [Thread #16]      Creating output directories...
[1602775510.171156]          [Thread #16]      Translating reads...
[1602775529.915898]          [Thread #16]      Running DIAMOND...
[1602775535.514811]          [Thread #16]      Converting DIAMOND...
[1602775535.6177876]         [Thread #16]      Parsing DIAMOND...
[1602775535.7941415]         [Thread #16]      Annotating...
[1602775536.160771]          [Thread #16]      Analyzing...
[1602775536.3793132]         [Thread #16]      Create read mapping...
[1602775552.3854449]         [Thread #16]    - [Thread #16] finished
[1602775531.1240196]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602775531.1241097]         [Thread #17]      Creating output directories...
[1602775532.006572]          [Thread #17]      Translating reads...
[1602775552.375441]          [Thread #17]      Running DIAMOND...
[1602775558.0695596]         [Thread #17]      Converting DIAMOND...
[1602775558.191426]          [Thread #17]      Parsing DIAMOND...
[1602775558.4345012]         [Thread #17]      Annotating...
[1602775558.6110024]         [Thread #17]      Analyzing...
[1602775558.9180348]         [Thread #17]      Create read mapping...
[1602775574.2636561]         [Thread #17]    - [Thread #17] finished
[1602775553.745603]          [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602775553.7456858]         [Thread #18]      Creating output directories...
[1602775554.7555215]         [Thread #18]      Translating reads...
[1602775574.1954799]         [Thread #18]      Running DIAMOND...
[1602775579.8591247]         [Thread #18]      Converting DIAMOND...
[1602775579.956951]          [Thread #18]      Parsing DIAMOND...
[1602775580.1230006]         [Thread #18]      Annotating...
[1602775580.5442016]         [Thread #18]      Analyzing...
[1602775580.8407967]         [Thread #18]      Create read mapping...
[1602775596.754399]          [Thread #18]    - [Thread #18] finished
[1602775575.6290693]         [Thread #19]    - [Thread #19] running on [1/28] CPUs
[1602775575.629156]          [Thread #19]      Creating output directories...
[1602775576.602294]          [Thread #19]      Translating reads...
[1602775596.6827981]         [Thread #19]      Running DIAMOND...
[1602775602.400007]          [Thread #19]      Converting DIAMOND...
[1602775602.5147696]         [Thread #19]      Parsing DIAMOND...
[1602775602.6750576]         [Thread #19]      Annotating...
[1602775603.08215]           [Thread #19]      Analyzing...
[1602775603.393219]          [Thread #19]      Create read mapping...
[1602775618.5005376]         [Thread #19]    - [Thread #19] finished
[1602775598.0760865]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602775598.0761688]         [Thread #20]      Creating output directories...
[1602775598.8576634]         [Thread #20]      Translating reads...
[1602775619.3700044]         [Thread #20]      Running DIAMOND...
[1602775625.1008663]         [Thread #20]      Converting DIAMOND...
[1602775625.2328055]         [Thread #20]      Parsing DIAMOND...
[1602775625.4240932]         [Thread #20]      Annotating...
[1602775625.797653]          [Thread #20]      Analyzing...
[1602775626.1046607]         [Thread #20]      Create read mapping...
[1602775641.8342826]         [Thread #20]    - [Thread #20] finished
[1602775620.8080225]         [Thread #21]    - [Thread #21] running on [1/28] CPUs
[1602775620.8081086]         [Thread #21]      Creating output directories...
[1602775621.755257]          [Thread #21]      Translating reads...
[1602775641.776787]          [Thread #21]      Running DIAMOND...
[1602775647.524549]          [Thread #21]      Converting DIAMOND...
[1602775647.6509724]         [Thread #21]      Parsing DIAMOND...
[1602775647.886135]          [Thread #21]      Annotating...
[1602775647.9910839]         [Thread #21]      Analyzing...
[1602775648.3244817]         [Thread #21]      Create read mapping...
[1602775665.1358576]         [Thread #21]    - [Thread #21] finished
[1602775643.3079274]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602775643.3080058]         [Thread #22]      Creating output directories...
[1602775644.283335]          [Thread #22]      Translating reads...
[1602775665.1423678]         [Thread #22]      Running DIAMOND...
[1602775670.9016666]         [Thread #22]      Converting DIAMOND...
[1602775671.04846]           [Thread #22]      Parsing DIAMOND...
[1602775671.2250252]         [Thread #22]      Annotating...
[1602775671.5397117]         [Thread #22]      Analyzing...
[1602775671.8704548]         [Thread #22]      Create read mapping...
[1602775687.3596008]         [Thread #22]    - [Thread #22] finished
[1602775666.5354526]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602775666.5355399]         [Thread #23]      Creating output directories...
[1602775667.519655]          [Thread #23]      Translating reads...
[1602775687.294867]          [Thread #23]      Running DIAMOND...
[1602775693.0531714]         [Thread #23]      Converting DIAMOND...
[1602775693.174695]          [Thread #23]      Parsing DIAMOND...
[1602775693.401903]          [Thread #23]      Annotating...
[1602775693.6157823]         [Thread #23]      Analyzing...
[1602775693.8587031]         [Thread #23]      Create read mapping...
[1602775709.6571143]         [Thread #23]    - [Thread #23] finished
[1602775688.718851]          [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602775688.718932]          [Thread #24]      Creating output directories...
[1602775689.5111597]         [Thread #24]      Translating reads...
[1602775709.567859]          [Thread #24]      Running DIAMOND...
[1602775715.4086454]         [Thread #24]      Converting DIAMOND...
[1602775715.5065095]         [Thread #24]      Parsing DIAMOND...
[1602775715.6677215]         [Thread #24]      Annotating...
[1602775715.782732]          [Thread #24]      Analyzing...
[1602775716.131535]          [Thread #24]      Create read mapping...
[1602775731.8101928]         [Thread #24]    - [Thread #24] finished
[1602775711.1764786]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602775711.176612]          [Thread #25]      Creating output directories...
[1602775712.039591]          [Thread #25]      Translating reads...
[1602775731.7722154]         [Thread #25]      Running DIAMOND...
[1602775737.4887369]         [Thread #25]      Converting DIAMOND...
[1602775737.6203034]         [Thread #25]      Parsing DIAMOND...
[1602775737.836483]          [Thread #25]      Annotating...
[1602775738.1943457]         [Thread #25]      Analyzing...
[1602775738.5435028]         [Thread #25]      Create read mapping...
[1602775753.8213959]         [Thread #25]    - [Thread #25] finished
[1602775733.3212078]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602775733.3213463]         [Thread #26]      Creating output directories...
[1602775734.1582377]         [Thread #26]      Translating reads...
[1602775753.7439747]         [Thread #26]      Running DIAMOND...
[1602775759.3678622]         [Thread #26]      Converting DIAMOND...
[1602775759.5014572]         [Thread #26]      Parsing DIAMOND...
[1602775759.6587582]         [Thread #26]      Annotating...
[1602775760.0546944]         [Thread #26]      Analyzing...
[1602775760.2532861]         [Thread #26]      Create read mapping...
[1602775777.360985]          [Thread #26]    - [Thread #26] finished
[1602775755.3950374]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602775755.3951197]         [Thread #27]      Creating output directories...
[1602775756.18227]           [Thread #27]      Translating reads...
[1602775777.3501666]         [Thread #27]      Running DIAMOND...
[1602775782.9854856]         [Thread #27]      Converting DIAMOND...
[1602775783.1123395]         [Thread #27]      Parsing DIAMOND...
[1602775783.2927856]         [Thread #27]      Annotating...
[1602775783.739512]          [Thread #27]      Analyzing...
[1602775784.0674372]         [Thread #27]      Create read mapping...
[1602775799.5012894]         [Thread #27]    - [Thread #27] finished
[1602775778.9264963]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602775778.9265766]         [Thread #28]      Creating output directories...
[1602775779.768814]          [Thread #28]      Translating reads...
[1602775799.4676497]         [Thread #28]      Running DIAMOND...
[1602775805.1651678]         [Thread #28]      Converting DIAMOND...
[1602775805.2879474]         [Thread #28]      Parsing DIAMOND...
[1602775805.4843085]         [Thread #28]      Annotating...
[1602775805.6507604]         [Thread #28]      Analyzing...
[1602775805.8559759]         [Thread #28]      Create read mapping...
[1602775820.9983482]         [Thread #28]    - [Thread #28] finished
[1602775800.9933167]         [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602775800.9934053]         [Thread #29]      Creating output directories...
[1602775801.931531]          [Thread #29]      Translating reads...
[1602775820.9628932]         [Thread #29]      Running DIAMOND...
[1602775826.6350977]         [Thread #29]      Converting DIAMOND...
[1602775826.7334068]         [Thread #29]      Parsing DIAMOND...
[1602775826.8746054]         [Thread #29]      Annotating...
[1602775827.0376523]         [Thread #29]      Analyzing...
