 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602789607.6851616]         [Thread #11]      Creating output directories...
[1602789607.6878943]         [Thread #11]      Translating reads...
[1602789628.268377]          [Thread #11]      Running DIAMOND...
[1602789634.3570814]         [Thread #11]      Converting DIAMOND...
[1602789634.4533217]         [Thread #11]      Parsing DIAMOND...
[1602789634.6291943]         [Thread #11]      Annotating...
[1602789634.960402]          [Thread #11]      Analyzing...
[1602789635.052857]          [Thread #11]      Create read mapping...
[1602789650.4862623]         [Thread #11]    - [Thread #11] finished
[1602789630.6186724]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602789630.6187553]         [Thread #12]      Creating output directories...
[1602789630.620528]          [Thread #12]      Translating reads...
[1602789650.4666154]         [Thread #12]      Running DIAMOND...
[1602789656.4646595]         [Thread #12]      Converting DIAMOND...
[1602789656.563812]          [Thread #12]      Parsing DIAMOND...
[1602789656.7551596]         [Thread #12]      Annotating...
[1602789657.0337963]         [Thread #12]      Analyzing...
[1602789657.1712604]         [Thread #12]      Create read mapping...
[1602789672.1048677]         [Thread #12]    - [Thread #12] finished
[1602789652.6747139]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602789652.6747983]         [Thread #13]      Creating output directories...
[1602789652.67638]           [Thread #13]      Translating reads...
[1602789672.091955]          [Thread #13]      Running DIAMOND...
[1602789678.208649]          [Thread #13]      Converting DIAMOND...
[1602789678.2927425]         [Thread #13]      Parsing DIAMOND...
[1602789678.3954353]         [Thread #13]      Annotating...
[1602789678.5409162]         [Thread #13]      Analyzing...
[1602789678.719009]          [Thread #13]      Create read mapping...
[1602789693.7644804]         [Thread #13]    - [Thread #13] finished
[1602789674.3480275]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602789674.3481207]         [Thread #14]      Creating output directories...
[1602789674.3497217]         [Thread #14]      Translating reads...
