PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_A100001234,1/13/10 8:00,21.98,38.24,5.4,27.3,27,38.9,182.8,0.0,0.00,0.05,0.00,1.15,34.1,NA,0.00,NA,0.00,53,79,33,248,172,2143,354,2993,2927,6.47,7.16,13578,0.753,556091,215346,771437,4410,11
TARA_B000000609,6/26/10 7:12,-15.34,43.29,5.5,27.3,80,35.0,193.1,NA,NA,NA,NA,NA,37.6,NA,NA,NA,NA,86,88,32,994,NA,2407,401,3652,3472,6.52,7.08,13543,0.744,409420,207207,616626,634,13
TARA_B100001939,12/30/11 12:56,9.85,-80.04,5.4,27.1,5,34.3,195.5,-1.7,0.00,0.01,0.00,2.93,35.9,0.34,0.16,NA,0.00,40,66,29,395,218,2904,466,4633,4527,6.68,7.23,16828,0.743,439099,139450,578549,2277,10
TARA_R100000458,3/30/10 8:46,14.56,70.01,58.2,27.1,5,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64,65,57,30,422,75,NA,NA,NA,NA,NA,NA,NA,NA,491755,123011,614766,4463,NA
TARA_B100000287,3/30/10 8:46,14.56,70.01,58.2,27.1,5,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64,65,57,30,422,75,2654,416,3901,3804,6.45,7.12,16485,0.733,491755,123011,614766,4463,11
TARA_B000000565,6/27/10 12:07,-17.02,42.74,5.6,27.0,14,35.1,190.1,NA,0.02,0.00,0.00,2.81,25.1,NA,NA,NA,NA,17,11,17,4,NA,2548,414,4102,3913,6.57,7.15,14117,0.749,NA,NA,NA,NA,10
TARA_R100000479,3/18/10 4:41,18.57,66.53,5.4,26.8,9,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14,35,83,29,555,115,NA,NA,NA,NA,NA,NA,NA,NA,795040,173106,968146,5455,NA
TARA_Y100000033,3/18/10 4:41,18.57,66.53,5.4,26.8,9,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14,35,83,29,555,115,NA,NA,NA,NA,NA,NA,NA,NA,795040,173106,968146,5455,NA
TARA_R100000482,3/18/10 9:52,18.57,66.49,25.3,26.8,9,36.3,193.0,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14,35,83,29,555,115,NA,NA,NA,NA,NA,NA,NA,NA,703226,246739,949965,6045,NA
TARA_B100000085,3/18/10 9:52,18.57,66.49,25.3,26.8,9,36.3,193.0,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14,35,83,29,555,115,2238,362,3181,3049,6.51,7.14,14680,0.744,703226,246739,949965,6045,11
TARA_Y100000592,8/8/11 17:38,-8.91,-142.56,5.5,26.8,95,35.4,187.3,5.0,0.19,0.56,3.73,1.80,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,800561,146848,947408,5808,NA
TARA_Y100000590,8/8/11 17:38,-8.91,-142.56,5.5,26.8,95,35.4,187.3,5.0,0.19,0.56,3.73,1.80,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,800561,146848,947408,5808,NA
TARA_B100001121,8/8/11 17:38,-8.91,-142.56,5.5,26.8,95,35.4,187.3,5.0,0.19,0.56,3.73,1.80,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,2530,413,3865,3776,6.67,7.17,17303,0.734,800561,146848,947408,5808,14
TARA_Y100000588,8/8/11 17:38,-8.91,-142.56,5.5,26.8,95,35.4,187.3,5.0,0.19,0.56,3.73,1.80,NA,-0.01,0.00,0.14,2.78,44,104,29,246,214,NA,NA,NA,NA,NA,NA,NA,NA,800561,146848,947408,5808,NA
