epoch,train_loss,valid_loss,accuracy,time
0,1.499275,#na#,00:20
epoch,train_loss,valid_loss,accuracy,time
0,1.558516,#na#,00:20
epoch,train_loss,valid_loss,accuracy,time
0,1.288189,1.263468,0.407740,2:57:51
1,1.290599,1.263879,0.407427,2:57:52
2,1.286692,1.263700,0.407592,2:58:05
3,1.288441,1.264563,0.407058,2:57:45
4,1.291345,1.264203,0.407154,2:57:26
5,1.288489,1.263953,0.407527,2:57:18
6,1.284181,1.263872,0.407430,2:58:13
7,1.290269,1.263579,0.407568,2:57:55
8,1.287462,1.263256,0.407807,2:57:50
9,1.287640,1.262993,0.408054,2:57:35
10,1.286675,1.262185,0.408296,2:56:48
11,1.283479,1.262050,0.408371,2:56:25
12,1.283780,1.261719,0.408610,2:56:24
13,1.283358,1.261808,0.408554,2:56:33
14,1.281172,1.261699,0.408594,2:57:58
epoch,train_loss,valid_loss,accuracy,time
0,1.287753,1.265993,0.407740,2:57:52
1,1.288440,1.266408,0.407427,2:57:52
2,1.286916,1.266218,0.407592,2:58:05
3,1.289543,1.267091,0.407058,2:57:45
4,1.290371,1.266682,0.407154,2:57:26
5,1.288281,1.266455,0.407527,2:57:18
6,1.285993,1.266391,0.407430,2:58:13
7,1.286585,1.266057,0.407568,2:57:56
8,1.287322,1.265806,0.407807,2:57:50
9,1.285097,1.265531,0.408054,2:57:35
10,1.283672,1.264713,0.408296,2:56:48
11,1.282362,1.264589,0.408371,2:56:25
12,1.281925,1.264242,0.408610,2:56:24
13,1.282748,1.264332,0.408554,2:56:32
14,1.282658,1.264223,0.408594,2:57:58
